n,comparisons,swaps
100,216,115
200,479,269
300,653,345
400,846,439
500,934,444
600,1260,649
700,1563,862
800,1824,989
900,1935,1012
1000,2038,1034
1100,2350,1249
1200,2541,1343
1300,2767,1480
1400,2687,1292
1500,3272,1762
1600,3176,1571
1700,3292,1547
1800,3616,1805
1900,3985,2021
2000,3912,1921
2100,4367,2276
2200,4232,2028
2300,4666,2355
2400,4902,2497
2500,4828,2261
2600,5313,2681
2700,5850,3140
2800,5556,2698
2900,5709,2811
3000,6135,3053
3100,6232,3109
3200,6011,2755
3300,7348,3956
3400,7274,3807
3500,7486,3954
3600,7624,4028
3700,7822,4115
3800,7874,4086
3900,8155,4256
4000,8027,3987
4100,8424,4330
4200,7749,3557
4300,9023,4624
4400,9317,4915
4500,9051,4549
4600,9075,4461
4700,9671,4976
4800,8836,4022
4900,10189,5194
5000,9803,4795
5100,9609,4488
5200,10155,4959
5300,11083,5777
5400,11688,6189
5500,11558,6060
5600,10279,4645
5700,12114,6396
5800,10713,4884
5900,12265,6373
6000,12858,6854
6100,12316,6207
6200,12248,6058
6300,13451,7119
6400,12437,6033
6500,12972,6470
6600,13843,7122
6700,11918,5225
6800,15192,8392
6900,13528,6594
7000,14202,7188
7100,13335,6248
7200,15035,7829
7300,15355,8072
7400,13241,5848
7500,15952,8447
7600,15041,7427
7700,15185,7484
7800,15768,7956
7900,15393,7323
8000,17061,9058
8100,15733,7639
8200,16727,8443
8300,16709,8418
8400,16080,7659
8500,17186,8708
8600,17356,8771
8700,17677,8966
8800,17740,8954
8900,17284,8364
9000,18590,9601
9100,19565,10455
9200,18251,9021
9300,18472,9175
9400,20045,10639
9500,20281,10784
9600,19717,10115
9700,18657,8953
9800,20062,10248
9900,19148,9254
10000,18344,8348
10100,19875,9758
10200,20977,10774
10300,19023,8525
10400,20859,10467
10500,21654,11123
10600,21929,11327
10700,20859,10125
10800,22597,11805
10900,20685,9753
11000,20649,9622
11100,24225,13106
11200,24377,13174
11300,23491,11964
11400,21336,9883
11500,19925,8404
11600,24366,12731
11700,21935,10250
11800,22990,11191
11900,24011,12008
12000,25388,13391
12100,25769,13651
12200,24000,11617
12300,25875,13326
12400,27438,15015
12500,22319,9816
12600,25878,13287
12700,26033,13336
12800,25386,12557
12900,24556,11619
13000,26887,13901
13100,26271,13149
13200,28205,14990
13300,28587,15300
13400,28356,14977
13500,28033,14528
13600,24950,11355
13700,27809,14115
13800,26741,12952
13900,26053,12093
14000,29948,15648
14100,28241,14064
14200,29275,15078
14300,30020,15716
14400,28301,13907
14500,27745,13260
14600,29780,15035
14700,30230,15535
14800,28766,13980
14900,28222,13261
15000,29057,14047
15100,31924,16813
15200,28880,13672
15300,29931,14593
15400,29679,14278
15500,31652,16165
15600,30714,15052
15700,30850,15127
15800,30189,14367
15900,31294,15409
16000,31270,15235
16100,33857,17770
16200,35513,19312
16300,30996,14701
16400,32642,16256
16500,30917,14387
16600,36022,19436
16700,33395,16687
16800,34440,17666
16900,33100,16177
17000,31032,13991
17100,33794,16706
17200,35549,18369
17300,34474,17180
17400,37887,20370
17500,37340,19816
17600,36707,19115
17700,36264,18583
17800,36192,18388
17900,34614,16731
18000,35798,17796
18100,37420,19248
18200,33049,14496
18300,32511,14214
18400,33931,15531
18500,35794,17266
18600,37179,18572
18700,38848,20135
18800,39284,20472
18900,37987,19077
19000,40701,21608
19100,37711,18244
19200,37638,18403
19300,36104,16769
19400,39728,20261
19500,38282,18722
19600,38419,18807
19700,43557,23855
19800,37397,17609
19900,37879,17935
20000,37529,17548
20100,39824,19742
20200,38669,18479
20300,38155,17861
20400,44454,23799
20500,40100,19611
20600,43746,23122
20700,38740,18044
20800,45186,24267
20900,42349,21443
21000,39627,18629
21100,43347,22261
21200,42804,21614
21300,37007,15711
21400,42408,20984
21500,43561,22026
21600,42201,20600
21700,39266,17567
21800,49189,27403
21900,41526,19640
22000,42747,20587
22100,41500,19367
22200,42723,20497
22300,44440,22140
22400,44392,21992
22500,45560,23037
22600,44993,22312
22700,43988,21286
22800,43261,20459
22900,49188,26273
23000,42231,19208
23100,45221,22068
23200,49256,26057
23300,46956,23642
23400,47315,23860
23500,43777,20274
23600,49802,26213
23700,50331,26516
23800,47478,23650
23900,50061,26153
24000,47877,23812
24100,47924,23827
24200,48464,24254
24300,48244,23960
24400,51358,26955
24500,46902,22412
24600,45940,21312
24700,52490,27792
24800,53545,28759
24900,48689,23794
25000,50536,25523
25100,50597,25489
25200,50137,24952
25300,48319,22421
25400,50001,24561
25500,51009,25513
25600,51915,26299
25700,52195,26506
25800,49691,23878
25900,50520,24603
26000,50250,24252
26100,50438,24324
26200,51601,25398
26300,51331,25008
26400,52615,26195
26500,55393,28868
26600,52405,25771
26700,56844,30136
26800,51663,24835
26900,56661,29759
27000,51982,24992
27100,53765,26676
27200,57991,30630
27300,54303,26649
27400,53594,26210
27500,53056,25567
27600,56041,28420
27700,56992,29297
27800,56528,28730
27900,57596,29710
28000,48518,20541
28100,54919,26800
28200,56829,28612
28300,57555,29222
28400,53013,24619
28500,55733,27190
28600,55109,26463
28700,60666,31956
28800,54906,26088
28900,53177,24279
29000,61299,32302
29100,61152,32049
29200,57073,27851
29300,60658,31265
29400,60795,31406
29500,55864,26363
29600,61511,31929
29700,62899,33192
29800,63175,33397
29900,54763,24849
30000,65457,35259
30100,57747,27648
30200,57228,27036
30300,61041,30754
30400,62148,31726
30500,60615,30132
30600,59426,28831
30700,65473,34733
30800,61967,31142
30900,57312,26399
31000,61649,30602
31100,57724,26629
31200,61886,30714
31300,66772,35457
31400,65496,33411
31500,68541,37060
31600,65603,33983
31700,69753,38067
31800,64967,33160
31900,60759,28783
32000,60128,28135
32100,67203,35121
32200,56761,24562
32300,64194,31756
32400,70377,37900
32500,68115,35617
32600,68121,35528
32700,65568,32879
32800,69548,36759
32900,68316,35407
33000,62083,29081
33100,68710,35436
33200,67374,34180
33300,65516,32103
33400,70467,37014
33500,65198,31701
33600,71842,38220
33700,73516,39813
33800,64368,30417
33900,64906,30975
34000,67344,33357
34100,67116,32982
34200,72339,38145
34300,70750,36442
34400,66855,32439
34500,69582,35008
34600,71197,36565
34700,66287,31591
34800,71115,36244
34900,67657,32741
35000,68283,33294
35100,71532,36417
35200,68682,33451
35300,68184,32858
35400,70769,35245
35500,72142,36634
35600,68847,33233
35700,70927,35110
35800,74137,38326
35900,73573,37692
36000,73924,37219
36100,65860,29755
36200,80614,44419
36300,78018,41717
36400,78064,41658
36500,76941,40415
36600,73073,36340
36700,72683,35999
36800,72916,36105
36900,69539,32645
37000,75988,39007
37100,68266,31143
37200,70788,33390
37300,83369,46084
37400,76206,38669
37500,72942,34778
37600,72573,34967
37700,78746,41063
37800,79509,41720
37900,82280,44086
38000,80056,42048
38100,77075,38971
38200,84692,46469
38300,75631,37292
38400,80790,42395
38500,69767,31240
38600,82197,43520
38700,75694,37010
38800,76163,37375
38900,70736,31840
39000,76841,37853
39100,79875,40750
39200,81687,42491
39300,79678,40388
39400,87578,48153
39500,81299,41811
39600,77433,37781
39700,80689,40993
39800,79274,39456
39900,85530,45627
40000,84984,45000
40100,81238,41118
40200,82417,42153
40300,75351,35055
40400,83157,42731
40500,84471,43914
40600,80119,39534
40700,84677,43984
40800,79551,38769
40900,80987,40083
41000,77250,36236
41100,83577,42383
41200,81130,39862
41300,81354,40024
41400,85274,43881
41500,85509,44007
41600,85788,44183
