n,comparisons,swaps
41700,83660,41920
41800,82204,40409
41900,79107,37179
42000,84995,42983
42100,79969,37871
42200,83415,41224
42300,89319,46995
42400,83630,41223
42500,76505,33984
42600,94359,51653
42700,81146,38458
42800,85480,42684
42900,84560,41682
43000,88533,45505
43100,81580,38471
43200,94200,50987
43300,87646,44354
43400,91458,48057
43500,86725,43227
43600,86773,43094
43700,81695,37968
43800,80714,36924
43900,96821,52911
44000,90260,46197
44100,93682,49585
44200,88410,44212
44300,86327,42037
44400,90333,45884
44500,86102,41618
44600,94384,49787
44700,85930,41107
44800,88619,43799
44900,91204,46217
45000,92904,47910
45100,84460,39322
45200,89163,43670
45300,86059,40749
45400,90448,45019
45500,92749,47191
45600,96328,50733
45700,92690,46367
45800,91899,45961
45900,90810,44850
46000,94543,48511
46100,91482,45392
46200,97197,50990
46300,91972,45645
46400,92065,45666
46500,91212,44725
46600,83572,36911
46700,96758,49928
46800,94662,47867
46900,90974,44084
47000,93307,46319
47100,94859,47754
47200,96208,49032
47300,87906,40550
47400,99981,52578
47500,89870,42389
47600,92891,45223
47700,92214,44531
47800,100573,52745
47900,97012,49123
48000,89093,41095
48100,99216,51088
48200,95056,46813
48300,93131,44801
48400,100658,52218
48500,96004,47512
48600,105928,57331
48700,95303,46621
48800,102734,53880
48900,100348,51458
49000,97104,48082
49100,98489,49406
49200,91295,42097
49300,105639,56348
49400,93063,43655
49500,97265,47761
49600,105119,55520
49700,100450,50743
49800,90704,40911
49900,93857,43942
50000,94580,44457
