Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
dual_pivot_quick_sort,15,18000,1,313169.00,122471.00
hybrid_sort,15,18000,1,350277.00,197716.00
quick_sort,15,19000,1,320430.00,194161.00
dual_pivot_quick_sort,15,19000,1,318006.00,124755.00
hybrid_sort,15,19000,1,307636.00,165875.00
quick_sort,15,20000,1,350351.00,193255.00
dual_pivot_quick_sort,15,20000,1,332387.00,135298.00
hybrid_sort,15,20000,1,328388.00,164639.00
quick_sort,15,21000,1,347397.00,182405.00
dual_pivot_quick_sort,15,21000,1,344845.00,139198.00
hybrid_sort,15,21000,1,364750.00,212066.00
quick_sort,15,22000,1,404389.00,199365.00
dual_pivot_quick_sort,15,22000,1,381347.00,158670.00
hybrid_sort,15,22000,1,388613.00,209861.00
quick_sort,15,23000,1,405566.00,228649.00
dual_pivot_quick_sort,15,23000,1,380261.00,145239.00
hybrid_sort,15,23000,1,379851.00,194053.00
quick_sort,15,24000,1,406882.00,218010.00
dual_pivot_quick_sort,15,24000,1,391699.00,154618.00
hybrid_sort,15,24000,1,415131.00,226457.00
quick_sort,15,25000,1,470687.00,230549.00
dual_pivot_quick_sort,15,25000,1,441142.00,175257.00
hybrid_sort,15,25000,1,414255.00,210792.00
quick_sort,15,26000,1,445922.00,238471.00
dual_pivot_quick_sort,15,26000,1,469480.00,193402.00
hybrid_sort,15,26000,1,460785.00,252415.00
quick_sort,15,27000,1,476590.00,233085.00
dual_pivot_quick_sort,15,27000,1,482408.00,177933.00
hybrid_sort,15,27000,1,462936.00,225391.00
quick_sort,15,28000,1,544173.00,313351.00
dual_pivot_quick_sort,15,28000,1,489971.00,192765.00
hybrid_sort,15,28000,1,519054.00,295830.00
quick_sort,15,29000,1,505580.00,256531.00
dual_pivot_quick_sort,15,29000,1,509057.00,207421.00
hybrid_sort,15,29000,1,507198.00,282915.00
quick_sort,15,30000,1,507368.00,263466.00
dual_pivot_quick_sort,15,30000,1,543118.00,211103.00
hybrid_sort,15,30000,1,523715.00,269513.00
quick_sort,15,31000,1,556945.00,275005.00
dual_pivot_quick_sort,15,31000,1,542680.00,208697.00
hybrid_sort,15,31000,1,566323.00,295940.00
quick_sort,15,32000,1,586078.00,273678.00
dual_pivot_quick_sort,15,32000,1,552977.00,226126.00
hybrid_sort,15,32000,1,565979.00,295350.00
