n,scenario,metric,avg_cost,max_cost
10000,ascending_test,key_comparisons,20.445160,58
10000,ascending_test,pointer_operations,31.199790,76
10000,ascending_test,tree_height,16.766820,23
10000,random_test,key_comparisons,14.336200,40
10000,random_test,pointer_operations,23.579490,59
10000,random_test,tree_height,13.681140,16
20000,ascending_test,key_comparisons,21.935510,63
20000,ascending_test,pointer_operations,32.727340,82
20000,ascending_test,tree_height,18.256365,25
20000,random_test,key_comparisons,15.366710,42
20000,random_test,pointer_operations,24.580855,60
20000,random_test,tree_height,14.906475,17
30000,ascending_test,key_comparisons,22.788593,67
30000,ascending_test,pointer_operations,33.569577,87
30000,ascending_test,tree_height,19.025213,26
30000,random_test,key_comparisons,15.976733,46
30000,random_test,pointer_operations,25.196287,62
30000,random_test,tree_height,15.707903,18
40000,ascending_test,key_comparisons,23.437905,68
40000,ascending_test,pointer_operations,34.221987,88
40000,ascending_test,tree_height,19.861650,27
40000,random_test,key_comparisons,16.395280,47
40000,random_test,pointer_operations,25.612390,61
40000,random_test,tree_height,16.165445,18
50000,ascending_test,key_comparisons,23.904760,72
50000,ascending_test,pointer_operations,34.680044,92
50000,ascending_test,tree_height,20.270090,28
50000,random_test,key_comparisons,16.703338,46
50000,random_test,pointer_operations,25.916978,63
50000,random_test,tree_height,16.484394,18
60000,ascending_test,key_comparisons,24.284623,72
60000,ascending_test,pointer_operations,35.072025,93
60000,ascending_test,tree_height,20.533820,28
60000,random_test,key_comparisons,17.004202,47
60000,random_test,pointer_operations,26.219113,63
60000,random_test,tree_height,16.954202,19
70000,ascending_test,key_comparisons,24.619766,73
70000,ascending_test,pointer_operations,35.404344,93
70000,ascending_test,tree_height,21.069471,29
70000,random_test,key_comparisons,17.209910,48
70000,random_test,pointer_operations,26.429326,68
70000,random_test,tree_height,17.248374,19
80000,ascending_test,key_comparisons,24.940162,73
80000,ascending_test,pointer_operations,35.717504,94
80000,ascending_test,tree_height,21.448818,29
80000,random_test,key_comparisons,17.422266,48
80000,random_test,pointer_operations,26.641129,68
80000,random_test,tree_height,17.507830,19
90000,ascending_test,key_comparisons,25.193158,72
90000,ascending_test,pointer_operations,35.973884,98
90000,ascending_test,tree_height,21.612098,29
90000,random_test,key_comparisons,17.572912,47
90000,random_test,pointer_operations,26.798023,64
90000,random_test,tree_height,17.513814,19
100000,ascending_test,key_comparisons,25.401636,77
100000,ascending_test,pointer_operations,36.180257,98
100000,ascending_test,tree_height,21.841889,30
100000,random_test,key_comparisons,17.733287,52
100000,random_test,pointer_operations,26.949650,69
100000,random_test,tree_height,17.794839,20
