n,comparisons,swaps,time
29200,323470,79364,28
29300,323428,79331,29
29400,326186,80030,42
29500,326711,80134,34
29600,327001,80209,30
29700,330352,81027,29
29800,331521,81327,35
29900,330338,81000,30
30000,331484,81240,33
30100,334272,81969,30
30200,334980,82149,29
30300,335660,82295,31
30400,336222,82412,30
30500,337434,82712,29
30600,337405,82690,30
30700,342306,83960,30
30800,341120,83633,30
30900,343372,84208,30
31000,343670,84238,30
31100,345820,84794,29
31200,347363,85194,30
31300,347147,85123,30
31400,348024,85242,30
31500,347091,85028,31
31600,351739,86273,32
31700,352443,86404,31
31800,353539,86653,31
31900,353378,86577,30
32000,355375,87063,32
32100,356646,87401,30
32200,356536,87363,31
32300,359767,88226,32
32400,360427,88320,32
32500,361580,88547,31
32600,363623,89123,33
32700,363637,89112,31
32800,365978,89664,31
32900,364586,89276,31
33000,366271,89718,31
33100,366231,89707,31
33200,368075,90142,31
33300,369936,90570,32
33400,372798,91289,33
33500,372519,91227,32
33600,374540,91756,32
33700,375003,91810,33
33800,375146,91848,32
33900,375736,92008,32
34000,379489,92977,32
34100,379781,93005,32
34200,379007,92826,32
34300,383245,93875,33
34400,384026,94057,33
34500,383880,94001,32
34600,384242,94109,33
34700,387691,94996,34
34800,387501,94913,34
34900,388067,95033,34
35000,390192,95649,33
35100,393143,96374,33
35200,391250,95805,33
35300,393807,96456,34
35400,396310,97073,35
35500,396526,97133,35
35600,397306,97305,34
35700,398018,97433,34
35800,399797,97951,33
35900,400226,98046,36
36000,400694,98142,34
36100,402470,98490,36
36200,407017,99697,34
36300,405248,99212,41
36400,406976,99615,34
36500,408518,100030,33
36600,405451,99202,34
36700,409707,100298,34
36800,412748,101084,36
36900,412185,100889,36
37000,411630,100767,35
37100,415160,101663,39
37200,415495,101660,35
37300,418287,102365,35
37400,414683,101419,48
37500,419446,102629,52
37600,419272,102554,41
37700,422968,103480,35
37800,422680,103383,35
37900,422307,103239,35
38000,426587,104346,35
38100,424514,103811,34
38200,427919,104684,35
38300,425888,104100,34
38400,431405,105561,35
38500,429707,105071,35
38600,429420,104962,35
38700,434568,106279,35
38800,435568,106487,35
38900,433866,106014,37
39000,436306,106646,36
39100,436754,106755,36
39200,440856,107748,36
39300,438287,107125,37
39400,441456,107908,38
39500,439763,107397,39
39600,443224,108280,36
39700,445336,108839,37
39800,447577,109418,37
39900,448238,109549,37
40000,448618,109556,36
40100,450228,110021,38
40200,452585,110630,38
40300,452141,110450,37
40400,452453,110518,38
40500,454130,110965,37
40600,455482,111230,36
40700,456959,111623,36
40800,456826,111577,37
40900,457751,111780,38
41000,458929,112032,36
41100,461146,112623,38
41200,462710,113001,37
41300,461602,112727,37
41400,461945,112749,37
41500,465447,113635,38
41600,466788,114003,38
41700,467648,114171,37
41800,469731,114747,38
41900,471464,115090,38
42000,471064,115015,40
42100,473476,115589,39
42200,474739,115883,39
42300,473396,115536,39
42400,475324,115994,42
42500,476607,116319,38
42600,477866,116619,38
42700,479876,117094,40
42800,478138,116636,39
42900,482798,117831,41
43000,482798,117842,38
43100,483511,117964,40
43200,485637,118509,38
43300,488325,119199,38
43400,488100,119041,40
43500,487881,118993,39
43600,490228,119579,38
43700,491087,119768,39
43800,493239,120343,39
43900,495411,120871,39
44000,494212,120578,39
44100,489998,119466,40
44200,496471,121084,40
44300,494419,120548,40
44400,497668,121317,40
44500,500985,122180,39
44600,502203,122495,40
44700,501180,122230,41
44800,503137,122739,42
44900,503842,122828,40
45000,505179,123118,40
45100,505832,123260,40
45200,505753,123291,41
45300,507739,123786,41
45400,509886,124298,41
45500,512771,125065,42
45600,515120,125688,41
45700,514192,125374,40
45800,513387,125192,41
45900,516107,125877,41
46000,514533,125401,41
46100,518012,126335,40
46200,520393,126904,48
46300,521426,127174,49
46400,518419,126332,41
46500,522190,127387,43
46600,526378,128455,45
46700,526999,128580,42
46800,529166,129059,42
46900,528409,128853,42
47000,527501,128660,42
47100,526733,128443,47
47200,533485,130163,47
47300,533131,130040,42
47400,535018,130559,42
47500,534118,130310,42
47600,535042,130471,43
47700,534262,130254,42
47800,540165,131765,44
47900,538803,131406,46
48000,539553,131527,56
48100,537700,131067,62
48200,539370,131478,42
48300,542399,132191,44
48400,548503,133791,42
48500,543977,132582,42
48600,546332,133208,43
48700,549336,133885,44
48800,550552,134196,43
48900,553305,134899,44
49000,552675,134706,43
49100,552639,134676,45
49200,555850,135492,43
49300,554760,135214,44
49400,559276,136316,44
49500,556572,135620,44
49600,558180,135999,44
49700,557694,135851,46
49800,560849,136691,44
49900,562802,137152,44
50000,562070,136912,44
