n,comparisons,swaps,time
15300,139659,21331,15
15400,140353,21419,15
15500,141455,21583,14
15600,142208,21709,14
15700,142818,21748,12
15800,144239,22004,13
15900,144899,22102,14
16000,146041,22282,14
16100,146429,22324,14
16200,147873,22548,14
16300,149064,22723,13
16400,149948,22864,14
16500,151288,23095,15
16600,151911,23161,15
16700,152402,23232,14
16800,153548,23423,14
16900,154262,23529,14
17000,155306,23683,14
17100,156100,23796,16
17200,157395,23982,14
17300,158033,24083,14
17400,158936,24196,15
17500,159532,24317,14
17600,160596,24477,14
17700,162330,24729,16
17800,162676,24775,15
17900,163679,24921,14
18000,164985,25123,15
18100,165486,25203,14
18200,166279,25298,15
18300,167226,25483,15
18400,168203,25593,15
18500,169280,25764,15
18600,170093,25856,15
18700,171097,26021,15
18800,171531,26121,16
18900,173147,26359,15
19000,173263,26374,16
19100,174920,26622,15
19200,176357,26857,16
19300,176829,26916,15
19400,176954,26920,15
19500,178492,27153,17
19600,179190,27256,16
19700,181105,27569,16
19800,181925,27700,17
19900,182414,27744,16
20000,182805,27822,16
20100,184428,28070,15
20200,184608,28088,16
20300,186318,28351,16
20400,186643,28394,15
20500,188177,28656,16
20600,188238,28661,16
20700,189582,28842,16
20800,190108,28924,16
20900,192156,29249,15
21000,192779,29317,15
21100,193025,29349,15
21200,194225,29550,16
21300,194116,29506,16
21400,196041,29817,16
21500,196821,29924,17
21600,198061,30119,17
21700,198452,30169,16
21800,200385,30484,19
21900,200658,30538,17
22000,200898,30530,16
22100,202441,30782,16
22200,203116,30884,17
22300,204045,31017,16
22400,205791,31284,17
22500,206729,31440,17
22600,206535,31383,17
22700,208319,31683,18
22800,208844,31742,17
22900,210321,31955,18
23000,211343,32114,17
23100,211586,32192,17
23200,212136,32246,16
23300,213562,32449,17
23400,214705,32652,17
23500,215977,32833,17
23600,216888,32981,16
23700,217387,33073,17
23800,217711,33059,17
23900,219408,33331,17
24000,220167,33475,17
24100,221347,33672,18
24200,222069,33717,18
24300,222503,33795,17
24400,223275,33895,18
24500,224912,34207,17
24600,225422,34250,19
24700,226228,34357,17
24800,227161,34507,18
24900,228614,34733,18
25000,229573,34852,18
25100,229823,34915,19
25200,230985,35068,20
25300,232313,35260,24
25400,233393,35465,23
25500,233998,35539,18
25600,233337,35412,19
25700,235460,35756,19
25800,237027,35968,18
25900,237105,35972,19
26000,239108,36305,18
26100,239906,36441,19
26200,240886,36620,19
26300,240352,36479,19
26400,242263,36764,19
26500,243840,37034,18
26600,243861,37043,18
26700,245397,37264,19
26800,246073,37353,20
26900,247217,37523,19
27000,248068,37645,19
27100,249031,37814,18
27200,249561,37888,19
27300,250140,37946,18
27400,251565,38187,19
27500,252973,38405,20
27600,252853,38390,19
27700,254726,38668,20
27800,255597,38796,19
27900,255858,38842,20
28000,257575,39121,19
28100,258116,39157,19
28200,258584,39245,19
28300,259732,39416,19
28400,259667,39386,20
28500,262249,39826,19
28600,261679,39693,19
28700,264350,40136,20
28800,263721,39971,20
28900,265190,40227,20
29000,266372,40406,20
29100,267539,40599,21
29200,268144,40673,20
29300,268846,40753,20
29400,270285,40992,20
29500,271174,41126,20
29600,272240,41293,20
29700,272666,41385,21
29800,274239,41617,20
29900,274966,41695,20
30000,274775,41639,20
30100,277371,42084,20
30200,277634,42121,20
30300,278827,42305,22
30400,279692,42411,19
30500,280457,42514,20
30600,279950,42425,20
30700,282515,42848,20
30800,283215,42937,20
30900,284274,43119,20
31000,285493,43279,21
31100,286355,43437,21
31200,287045,43517,21
31300,288113,43642,21
31400,288542,43749,20
31500,288963,43795,20
31600,290654,44057,20
31700,292232,44303,20
31800,292377,44315,20
31900,292556,44298,20
32000,294971,44690,21
32100,295425,44745,21
32200,296177,44867,21
32300,295932,44816,21
32400,298155,45168,21
32500,299348,45372,20
32600,300292,45535,21
32700,301122,45594,20
32800,302350,45785,22
32900,303005,45906,22
33000,303361,45946,20
33100,304597,46121,23
33200,305112,46219,21
33300,306989,46528,22
33400,306515,46447,21
33500,308563,46742,22
33600,309668,46931,22
33700,309640,46918,21
33800,310969,47123,21
33900,312503,47349,22
34000,311542,47180,22
34100,313458,47456,22
34200,314493,47626,22
34300,314592,47617,22
34400,317106,48049,22
34500,317563,48095,22
34600,317801,48098,22
34700,319290,48389,22
34800,319246,48354,22
34900,320809,48572,22
35000,323236,48958,22
35100,323956,49070,22
35200,324180,49091,21
35300,325125,49244,22
35400,325660,49279,22
35500,327412,49535,23
35600,328300,49716,23
35700,327223,49538,24
35800,330015,49948,23
35900,328892,49802,22
36000,331126,50142,22
36100,333167,50436,23
36200,334024,50567,23
36300,334642,50672,23
36400,335562,50818,22
36500,335925,50847,22
36600,337518,51069,23
36700,337585,51086,23
36800,338829,51287,23
36900,339219,51337,23
37000,340376,51473,24
37100,341804,51700,23
37200,341319,51648,23
37300,342415,51829,24
37400,343626,52009,23
37500,345433,52270,23
37600,347056,52513,24
37700,347962,52642,24
37800,348483,52751,23
37900,349324,52866,23
38000,350127,52979,24
38100,350232,52991,23
38200,352032,53268,23
38300,352101,53268,25
38400,353697,53523,23
38500,355406,53841,24
38600,356132,53895,23
38700,356974,54040,24
38800,357885,54158,23
38900,358140,54209,24
39000,360226,54565,25
39100,359592,54422,24
39200,361324,54664,24
39300,360915,54595,24
39400,362853,54923,25
39500,364752,55238,24
39600,364171,55121,24
39700,365946,55385,24
39800,366707,55540,24
39900,368104,55705,26
40000,369469,55943,25
40100,369815,56016,25
40200,370610,56106,25
40300,371191,56177,25
40400,371774,56266,25
40500,372851,56442,25
40600,374389,56657,25
40700,374926,56748,24
40800,375887,56904,26
40900,376068,56914,24
41000,377141,57043,25
41100,379055,57323,24
41200,379994,57492,24
41300,379720,57448,25
41400,381482,57707,25
41500,381571,57723,24
41600,383803,58079,25
41700,383939,58066,25
41800,385384,58323,26
41900,386129,58415,26
42000,386319,58451,24
42100,388135,58726,25
42200,389804,58996,25
42300,391097,59189,25
42400,390743,59099,25
42500,392151,59342,25
42600,393016,59439,26
42700,393725,59542,25
42800,394552,59715,26
42900,394426,59670,25
43000,396754,60026,26
43100,397092,60068,25
43200,398419,60225,25
43300,399130,60358,27
43400,399163,60360,25
43500,402142,60819,25
43600,402845,60941,26
43700,402899,60923,26
43800,403947,61115,26
43900,404217,61116,26
44000,404354,61116,27
44100,407040,61628,27
44200,407937,61697,25
44300,408118,61699,26
44400,409055,61869,26
44500,411067,62167,27
44600,411884,62302,26
44700,411716,62272,25
44800,411848,62234,30
44900,413487,62536,26
45000,415408,62836,26
45100,415706,62828,26
45200,417318,63127,26
45300,417892,63206,26
45400,416910,62991,26
45500,420039,63545,26
45600,421573,63770,26
45700,420719,63640,28
45800,422684,63921,26
45900,423454,64027,27
46000,423034,63972,27
46100,424357,64127,27
46200,426100,64412,27
46300,427660,64686,26
46400,428291,64752,32
46500,429478,64942,35
46600,430529,65127,32
46700,430839,65114,32
46800,432468,65361,31
46900,431669,65262,32
47000,434043,65636,31
47100,434901,65774,32
47200,434678,65692,32
47300,437337,66153,32
47400,437110,66091,32
47500,438462,66282,31
47600,437699,66124,32
47700,440554,66567,32
47800,440849,66636,34
47900,441321,66707,31
48000,441206,66664,32
48100,443288,66988,33
48200,445510,67364,33
48300,446472,67501,32
48400,446855,67592,34
48500,448279,67743,34
48600,448505,67789,34
48700,448409,67739,32
48800,450850,68145,33
48900,451314,68228,34
49000,451947,68335,32
49100,452806,68426,34
49200,454405,68705,33
49300,456144,68976,32
49400,456539,69010,28
49500,456262,68966,28
49600,457208,69122,28
49700,459305,69430,30
49800,458194,69246,27
49900,461554,69760,29
50000,462175,69885,28
