n,comparisons,swaps,time
100,358,69,65
200,763,136,69
300,1115,190,71
400,1339,224,77
500,4202,702,6
600,5122,843,7
700,5892,961,6
800,6752,1102,8
900,7704,1249,7
1000,8517,1385,7
1100,9483,1527,7
1200,10339,1658,8
1300,11289,1805,7
1400,12104,1927,7
1500,13155,2097,7
1600,14003,2230,8
1700,14905,2364,7
1800,15797,2505,8
1900,16691,2645,7
2000,17643,2793,7
2100,18343,2899,7
2200,19332,3051,8
2300,20249,3178,8
2400,21120,3324,8
2500,22171,3478,10
2600,23138,3626,9
2700,23984,3756,8
2800,24731,3874,8
2900,25869,4057,8
3000,26491,4139,8
3100,27695,4341,8
3200,28449,4443,8
3300,29342,4581,9
3400,30252,4729,9
3500,31145,4868,7
3600,32146,5018,8
3700,33016,5154,8
3800,33881,5274,9
3900,34644,5387,9
4000,35732,5546,8
4100,36670,5711,10
4200,37509,5835,8
4300,38389,5967,8
4400,39304,6094,8
4500,40084,6221,9
4600,41090,6369,9
4700,42191,6534,9
4800,43063,6674,9
4900,43892,6793,8
5000,44903,6953,9
5100,45565,7063,10
5200,46630,7195,9
5300,47537,7355,9
5400,48511,7494,9
5500,49426,7649,9
5600,50388,7812,9
5700,51474,7972,8
5800,52163,8085,9
5900,53014,8196,10
6000,54126,8370,10
6100,54777,8465,10
6200,55781,8611,11
6300,56712,8761,10
6400,57729,8905,9
6500,58526,9031,9
6600,59696,9217,9
6700,60485,9323,10
6800,61014,9400,10
6900,62270,9605,11
7000,63174,9742,10
7100,63841,9833,11
7200,65037,10023,9
7300,66261,10226,11
7400,66934,10301,10
7500,67557,10391,10
7600,68830,10594,10
7700,69392,10682,11
7800,70241,10814,11
7900,71549,11002,10
8000,72395,11143,12
8100,72961,11220,10
8200,74230,11388,10
8300,75247,11560,11
8400,75914,11672,11
8500,77198,11863,10
8600,77861,11965,11
8700,78659,12092,11
8800,79574,12208,11
8900,80516,12361,10
9000,81600,12520,10
9100,82693,12686,12
9200,83518,12816,10
9300,84590,12989,10
9400,85237,13073,11
9500,86379,13253,12
9600,86987,13342,12
9700,88351,13555,11
9800,88627,13613,12
9900,90051,13813,11
10000,90839,13929,10
10100,91806,14066,11
10200,92722,14215,11
10300,93674,14366,12
10400,94330,14460,11
10500,95212,14580,12
10600,96660,14814,10
10700,97203,14893,10
10800,98151,15029,11
10900,98847,15134,12
11000,100019,15315,13
11100,101154,15494,12
11200,101966,15625,12
11300,102771,15754,11
11400,103636,15887,11
11500,104972,16081,12
11600,105277,16128,12
11700,106399,16292,13
11800,106844,16334,13
11900,108516,16608,12
12000,109355,16754,12
12100,109759,16782,12
12200,111155,17013,13
12300,111521,17051,13
12400,112925,17277,12
12500,113569,17353,12
12600,114605,17518,13
12700,115199,17633,12
12800,116477,17798,12
12900,117378,17933,13
13000,118460,18116,13
13100,119451,18246,13
13200,120170,18368,12
13300,121005,18499,12
13400,122189,18678,14
13500,123170,18840,13
13600,124310,19021,13
13700,124659,19046,13
13800,125837,19232,13
13900,126614,19334,13
14000,127501,19490,14
14100,128699,19681,13
14200,129604,19796,13
14300,130528,19961,13
14400,131480,20075,13
14500,132333,20206,12
14600,133505,20374,13
14700,133478,20375,14
14800,134986,20623,14
14900,136111,20785,14
15000,136828,20889,16
15100,137759,21007,14
15200,138782,21174,13
