n,comparisons,swaps,time
13900,135339,17765,12
14000,136854,17979,14
14100,137624,18058,13
14200,138991,18253,13
14300,139815,18362,12
14400,140658,18452,12
14500,141478,18552,12
14600,142876,18761,12
14700,144086,18917,13
14800,144812,19022,14
14900,145820,19141,12
15000,146877,19279,13
15100,147371,19324,13
15200,148338,19462,15
15300,149730,19640,14
15400,150162,19708,15
15500,151475,19850,13
15600,151577,19889,13
15700,153575,20158,12
15800,155093,20361,16
15900,155721,20419,13
16000,156531,20512,13
16100,157351,20660,14
16200,158819,20797,13
16300,159563,20907,14
16400,160524,21075,13
16500,161459,21158,13
16600,162286,21258,15
16700,163328,21404,14
16800,164358,21528,15
16900,165540,21690,14
17000,166237,21773,14
17100,167798,21992,13
17200,168218,22059,15
17300,169006,22138,14
17400,170401,22325,14
17500,171415,22436,16
17600,172288,22569,16
17700,173831,22785,15
17800,174010,22799,15
17900,175297,22957,15
18000,175959,23049,15
18100,177498,23265,15
18200,178202,23337,14
18300,179482,23508,15
18400,180244,23603,16
18500,180880,23715,15
18600,182357,23854,15
18700,183238,23977,15
18800,183972,24100,14
18900,184654,24165,16
19000,186393,24378,15
19100,187249,24487,14
19200,188324,24639,14
19300,189232,24736,16
19400,190414,24925,15
19500,191321,25026,16
19600,192382,25165,15
19700,193687,25350,17
19800,194505,25452,18
19900,195446,25571,15
20000,195911,25605,16
20100,197160,25786,15
20200,197109,25776,15
20300,198895,26007,17
20400,199253,26049,15
20500,201700,26387,15
20600,201686,26370,15
20700,202830,26498,16
20800,203952,26671,15
20900,205162,26808,15
21000,205996,26922,15
21100,207279,27111,16
21200,208309,27231,16
21300,209319,27362,16
21400,209753,27429,16
21500,210768,27550,16
21600,211039,27577,17
21700,212812,27780,17
21800,214414,28036,15
21900,214810,28072,16
22000,216023,28237,16
22100,216961,28370,17
22200,217843,28486,16
22300,218407,28530,16
22400,220006,28746,17
22500,220930,28857,16
22600,221794,28957,17
22700,222842,29120,16
22800,223508,29173,16
22900,224229,29257,16
23000,226073,29513,17
23100,227053,29645,16
23200,227976,29786,17
23300,228458,29820,16
23400,229863,30008,16
23500,231207,30179,17
23600,231526,30245,17
23700,232408,30346,17
23800,234110,30593,17
23900,235021,30689,17
24000,235476,30751,17
24100,236810,30916,17
24200,237063,30946,16
24300,238747,31174,16
24400,239552,31259,17
24500,241059,31475,18
24600,241226,31485,17
24700,242678,31673,18
24800,243430,31767,17
24900,245380,32060,17
25000,245680,32088,17
25100,246370,32191,18
25200,247121,32244,18
25300,248748,32476,18
25400,249492,32579,18
25500,250402,32679,17
25600,251160,32785,18
25700,253296,33059,18
25800,253430,33080,18
25900,254992,33296,18
26000,255501,33353,19
26100,255932,33392,19
26200,257682,33637,20
26300,258400,33715,19
26400,259843,33927,18
26500,259663,33909,18
26600,261223,34090,21
26700,262956,34325,19
26800,263389,34391,18
26900,264486,34533,18
27000,266036,34742,18
27100,266141,34729,18
27200,267237,34908,18
27300,267274,34886,18
27400,268544,35039,19
27500,269871,35228,19
27600,270431,35327,18
27700,272059,35462,19
27800,272716,35584,18
27900,274210,35794,19
28000,275384,35973,18
28100,276026,36038,20
28200,276875,36130,20
28300,278470,36369,18
28400,278886,36375,18
28500,279935,36517,19
28600,281544,36749,19
28700,282670,36874,19
28800,283648,37015,19
28900,284336,37105,20
29000,284855,37178,19
29100,285720,37241,18
29200,286970,37435,19
29300,287748,37557,19
29400,288501,37659,20
29500,290642,37948,19
29600,290841,37923,19
29700,290820,37938,20
29800,292878,38229,20
29900,294260,38390,20
30000,295503,38576,19
30100,296042,38656,19
30200,296976,38751,20
30300,297893,38861,21
30400,299100,39041,19
30500,299653,39099,19
30600,300793,39265,20
30700,302158,39391,20
30800,302964,39530,20
30900,304332,39730,20
31000,304405,39705,22
31100,305264,39795,20
31200,306222,39946,20
31300,308072,40188,20
31400,308575,40247,19
31500,309541,40347,20
31600,310842,40532,21
31700,310850,40542,19
31800,313200,40827,20
31900,313626,40887,20
32000,314195,40987,20
32100,315895,41205,20
32200,316812,41325,20
32300,318211,41469,20
32400,318338,41506,21
32500,319618,41676,20
32600,320744,41843,21
32700,322554,42046,20
32800,323068,42150,20
32900,324187,42299,20
33000,325044,42369,20
33100,326161,42527,21
33200,327046,42626,21
33300,327495,42666,21
33400,329013,42899,21
33500,329889,42984,20
33600,330685,43106,20
33700,332355,43320,22
33800,332440,43322,22
33900,333916,43534,21
34000,335533,43730,21
34100,335966,43778,21
34200,336806,43890,22
34300,337158,43946,21
34400,338576,44094,21
34500,339561,44220,21
34600,340916,44435,21
34700,341483,44499,22
34800,342581,44608,22
34900,344214,44898,22
35000,345145,44977,21
35100,345323,44988,21
35200,346590,45150,21
35300,347757,45324,22
35400,348421,45403,21
35500,348814,45420,22
35600,349545,45560,21
35700,351524,45806,21
35800,353030,46025,22
35900,353541,46085,22
36000,353467,46031,22
36100,355275,46262,22
36200,357094,46540,22
36300,356466,46478,22
36400,358245,46670,24
36500,359459,46858,21
36600,360756,46997,22
36700,361586,47090,22
36800,362145,47162,22
36900,363694,47369,22
37000,363880,47394,22
37100,365124,47576,22
37200,366689,47763,23
37300,366860,47744,23
37400,368894,48045,22
37500,369468,48097,22
37600,370397,48265,23
37700,370874,48299,23
37800,372447,48493,22
37900,372856,48553,23
38000,374023,48731,22
38100,376137,48978,23
38200,376402,49006,23
38300,377157,49140,23
38400,378142,49267,23
38500,379367,49395,24
38600,380512,49555,23
38700,380909,49619,24
38800,382508,49805,24
38900,383706,50002,23
39000,385034,50113,26
39100,384896,50100,24
39200,385714,50204,24
39300,386296,50264,25
39400,389079,50676,24
39500,389252,50655,23
39600,390623,50836,24
39700,391072,50885,23
39800,392429,51089,25
39900,393467,51217,23
40000,393330,51168,24
40100,396304,51606,24
40200,396228,51589,26
40300,397724,51771,23
40400,397809,51757,24
40500,398918,51959,23
40600,400468,52129,23
40700,401746,52321,24
40800,402698,52434,23
40900,403412,52522,24
41000,403775,52570,24
41100,405329,52764,24
41200,406342,52893,24
41300,407324,53001,24
41400,408677,53228,24
41500,409915,53379,27
41600,409875,53349,24
41700,410764,53468,24
41800,413050,53792,24
41900,413068,53785,24
42000,414082,53889,24
42100,415221,54018,25
42200,416566,54223,25
42300,417566,54337,24
42400,418760,54504,25
42500,419413,54579,25
42600,420095,54659,25
42700,421142,54820,24
42800,421461,54844,25
42900,422772,54991,24
43000,423737,55148,26
43100,423643,55085,25
43200,426098,55438,25
43300,427293,55600,25
43400,428060,55702,25
43500,428448,55753,26
43600,429388,55808,26
43700,431203,56062,25
43800,432061,56238,26
43900,432858,56322,27
44000,433958,56426,25
44100,434012,56398,26
44200,435530,56666,25
44300,437672,56948,25
44400,438594,57085,25
44500,439620,57185,25
44600,438425,57029,26
44700,441410,57421,26
44800,441398,57399,25
44900,443852,57734,26
45000,443566,57688,26
45100,445663,57971,25
45200,446932,58095,26
45300,447046,58124,27
45400,447536,58192,25
45500,448651,58354,25
45600,450734,58604,26
45700,450715,58589,26
45800,450088,58474,25
45900,453514,58951,26
46000,453918,59047,26
46100,455241,59167,26
46200,456616,59380,26
46300,456262,59347,28
46400,458562,59634,26
46500,458625,59628,26
46600,459490,59719,26
46700,459398,59723,26
46800,462079,60096,27
46900,463142,60209,27
47000,464283,60370,27
47100,462804,60181,28
47200,466076,60561,27
47300,465778,60540,28
47400,468326,60876,27
47500,468077,60838,28
47600,469183,61030,27
47700,470645,61191,27
47800,470862,61233,27
47900,472958,61494,26
48000,473229,61535,26
48100,474558,61692,27
48200,476043,61882,27
48300,477572,62107,27
48400,478046,62168,27
48500,477074,61956,27
48600,479689,62393,28
48700,480757,62488,28
48800,482048,62706,27
48900,482283,62680,27
49000,483190,62805,28
49100,484972,63032,27
49200,485878,63177,27
49300,485584,63155,28
49400,487908,63442,27
49500,488035,63449,28
49600,489565,63610,28
49700,490147,63710,27
49800,491633,63904,27
49900,491203,63843,28
50000,492930,64050,28
