n,comparisons,swaps,time
100,440,69,62
200,826,125,69
300,1552,225,56
400,1784,258,66
500,4566,652,6
600,5445,769,7
700,6416,897,7
800,7333,1022,9
900,8336,1158,7
1000,9181,1267,7
1100,10235,1413,7
1200,11210,1543,7
1300,12181,1670,7
1400,13137,1797,7
1500,14159,1930,7
1600,15059,2054,9
1700,16107,2196,6
1800,17036,2319,7
1900,18036,2453,7
2000,18895,2555,8
2100,19909,2691,7
2200,20973,2840,7
2300,21862,2963,8
2400,22820,3077,8
2500,23715,3190,8
2600,24811,3336,8
2700,25830,3466,7
2800,26705,3580,8
2900,27597,3708,8
3000,28669,3856,8
3100,29708,3990,8
3200,30655,4113,9
3300,31535,4232,8
3400,32527,4362,9
3500,33364,4469,8
3600,34450,4604,9
3700,35551,4757,8
3800,36590,4897,8
3900,37264,4976,9
4000,38573,5156,8
4100,39439,5271,10
4200,40231,5369,9
4300,41094,5464,8
4400,42453,5673,8
4500,43437,5787,9
4600,44233,5892,9
4700,45406,6048,8
4800,46392,6166,8
4900,47280,6279,9
5000,48220,6410,9
5100,49268,6554,8
5200,50137,6659,8
5300,51182,6798,9
5400,52368,6946,9
5500,53145,7045,9
5600,54052,7162,9
5700,54895,7275,9
5800,56137,7436,8
5900,56960,7551,9
6000,58108,7714,10
6100,59094,7832,9
6200,60128,7966,10
6300,61087,8096,10
6400,61962,8212,9
6500,62810,8335,8
6600,63980,8473,10
6700,64991,8618,10
6800,65876,8740,10
6900,66952,8871,9
7000,67803,8969,8
7100,68983,9133,9
7200,69804,9237,9
7300,70874,9372,9
7400,71873,9515,10
7500,72820,9628,10
7600,73921,9784,10
7700,74717,9868,11
7800,75710,10014,10
7900,76635,10128,9
8000,77592,10273,9
8100,78285,10319,11
8200,79377,10479,12
8300,80775,10664,11
8400,81970,10832,10
8500,82405,10889,11
8600,83645,11032,10
8700,84661,11166,11
8800,85558,11292,11
8900,86542,11424,12
9000,87376,11515,10
9100,88372,11655,10
9200,89308,11787,10
9300,90622,11947,10
9400,91825,12111,11
9500,92366,12169,11
9600,93274,12293,11
9700,94202,12379,10
9800,95459,12584,10
9900,96306,12683,10
10000,97660,12838,11
10100,98570,12975,12
10200,99446,13089,11
10300,100354,13193,10
10400,101201,13298,11
10500,102500,13488,11
10600,102996,13568,11
10700,104511,13770,11
10800,105301,13848,12
10900,106539,14026,12
11000,107333,14115,11
11100,108195,14212,11
11200,109171,14355,11
11300,110137,14469,11
11400,111076,14583,12
11500,112287,14743,12
11600,113170,14865,12
11700,113826,14968,12
11800,114763,15052,13
11900,116289,15283,12
12000,116984,15381,12
12100,117948,15493,12
12200,119071,15637,12
12300,120036,15758,12
12400,120729,15844,12
12500,122068,16040,13
12600,122759,16099,13
12700,124158,16325,12
12800,124853,16412,12
12900,125604,16489,13
13000,127063,16687,14
13100,127924,16792,12
13200,128961,16931,13
13300,129441,17006,13
13400,130804,17176,13
13500,131821,17316,13
13600,132547,17396,13
13700,133449,17513,13
13800,134890,17724,12
