n,comparisons,swaps,time
45400,409146,74796,28
45500,409701,74890,30
45600,411314,75141,29
45700,411731,75223,28
45800,413703,75621,29
45900,414879,75806,30
46000,415093,75894,29
46100,414907,75796,30
46200,417226,76259,29
46300,418069,76409,29
46400,419117,76587,30
46500,420053,76747,30
46600,419792,76722,29
46700,421593,76999,29
46800,423302,77368,29
46900,423439,77358,30
47000,424367,77545,31
47100,424798,77581,30
47200,426146,77849,30
47300,426616,77910,31
47400,428554,78322,30
47500,428578,78304,31
47600,429220,78420,30
47700,430962,78699,30
47800,430897,78706,29
47900,433010,79164,29
48000,432468,79012,30
48100,434664,79404,30
48200,436319,79730,31
48300,436024,79652,31
48400,436917,79840,32
48500,438276,80072,30
48600,439378,80242,30
48700,438204,80042,30
48800,440488,80466,31
48900,441698,80697,30
49000,442484,80853,30
49100,444693,81281,30
49200,443932,81125,31
49300,445756,81451,30
49400,446249,81505,30
49500,445827,81436,33
49600,449090,82041,30
49700,449482,82106,31
49800,450727,82365,32
49900,449159,82040,33
50000,452132,82626,31
