n,comparisons,swaps,time
100,385,88,64
200,834,177,59
300,878,185,81
400,1505,308,68
500,4011,813,7
600,4844,982,7
700,5594,1122,6
800,6411,1280,7
900,7324,1436,6
1000,8120,1601,7
1100,9098,1797,7
1200,9912,1947,8
1300,10732,2102,8
1400,11724,2292,6
1500,12515,2437,6
1600,13390,2609,6
1700,14217,2754,7
1800,15010,2896,7
1900,16005,3084,7
2000,16914,3245,7
2100,17763,3421,8
2200,18544,3554,8
2300,19443,3733,7
2400,20292,3898,8
2500,21377,4103,7
2600,22064,4229,7
2700,22931,4369,7
2800,23799,4551,9
2900,24831,4750,8
3000,25583,4880,8
3100,26223,5006,8
3200,27253,5199,7
3300,28283,5402,8
3400,29081,5529,8
3500,30108,5705,9
3600,30885,5859,8
3700,31769,6017,9
3800,32798,6221,9
3900,33517,6354,8
4000,34443,6518,9
4100,35266,6672,8
4200,36344,6879,9
4300,37054,7006,8
4400,38088,7199,9
4500,38958,7342,9
4600,39728,7496,8
4700,40489,7628,8
4800,41603,7832,10
4900,42044,7919,10
5000,43278,8140,9
5100,44120,8329,9
5200,45048,8494,9
5300,46023,8673,10
5400,46733,8788,9
5500,47871,9015,11
5600,48512,9120,10
5700,49529,9297,10
5800,50670,9536,9
5900,51134,9600,10
6000,52212,9817,10
6100,53159,9985,10
6200,54003,10149,10
6300,54928,10316,10
6400,55767,10482,10
6500,56717,10648,10
6600,57864,10865,11
6700,58407,10953,11
6800,59174,11071,11
6900,60466,11330,10
7000,60927,11398,10
7100,61741,11541,10
7200,63172,11814,11
7300,63627,11879,10
7400,64912,12143,10
7500,65590,12256,11
7600,66298,12402,11
7700,67391,12607,11
7800,68301,12768,11
7900,68850,12862,11
8000,70441,13165,11
8100,71289,13317,12
8200,71783,13407,12
8300,73107,13664,10
8400,73706,13777,10
8500,74401,13872,12
8600,75636,14123,11
8700,76335,14200,11
8800,77470,14426,10
8900,78295,14573,11
9000,79028,14713,11
9100,79944,14878,12
9200,80431,14960,11
9300,81448,15123,12
9400,82787,15393,12
9500,82979,15426,11
9600,84359,15683,11
9700,85389,15867,11
9800,86188,16040,11
9900,87448,16271,11
10000,88232,16418,11
10100,89089,16590,12
10200,90090,16764,11
10300,90764,16881,13
10400,91882,17111,13
10500,92750,17267,12
10600,93421,17384,13
10700,94391,17530,11
10800,95335,17743,12
10900,95915,17816,12
11000,97327,18078,12
11100,97751,18176,13
11200,99161,18450,14
11300,99663,18512,12
11400,101015,18778,12
11500,101489,18858,12
11600,102457,19035,12
11700,103361,19188,13
11800,104666,19441,13
11900,104764,19452,13
12000,105706,19610,15
12100,106558,19788,15
12200,107958,20057,14
12300,109311,20295,12
12400,109673,20349,12
12500,110800,20560,14
12600,111883,20792,13
12700,112435,20880,14
12800,113240,21016,13
12900,114634,21299,14
13000,114872,21298,14
13100,115915,21499,14
13200,117348,21794,13
13300,118047,21922,14
13400,118851,22035,14
13500,120090,22274,14
13600,120542,22347,14
13700,121321,22494,15
13800,122195,22635,13
13900,123089,22801,12
14000,123846,22932,13
14100,125325,23221,14
14200,125936,23328,14
14300,127185,23565,14
14400,127734,23630,15
14500,128397,23803,13
14600,129686,23994,13
14700,130049,24062,15
14800,131659,24408,14
14900,132212,24482,15
15000,133343,24689,14
15100,133602,24729,14
15200,135086,24999,14
15300,135603,25092,14
15400,136360,25225,16
15500,137887,25517,15
15600,139109,25752,16
15700,139696,25833,15
15800,140250,25957,15
15900,140418,25982,16
16000,142301,26322,15
16100,142971,26455,15
16200,143876,26609,19
16300,144550,26704,25
16400,145557,26902,20
16500,146597,27109,17
16600,148035,27363,16
16700,148673,27490,15
16800,149455,27629,15
16900,150930,27892,16
17000,151015,27898,15
17100,151174,27914,15
17200,153239,28289,15
17300,152921,28234,15
17400,154939,28605,15
17500,155829,28767,15
17600,156485,28882,15
17700,156846,28941,16
17800,157802,29093,16
17900,159658,29456,15
18000,159242,29357,16
18100,161176,29709,16
18200,162234,29943,16
18300,162726,29997,15
18400,164577,30343,16
18500,165182,30478,16
18600,165230,30440,17
18700,165827,30544,17
18800,167757,30963,17
18900,168276,31018,16
19000,168965,31140,16
19100,170810,31510,16
19200,171293,31565,16
19300,172076,31722,17
19400,172476,31764,16
19500,174086,32108,16
19600,174685,32201,18
19700,175580,32360,17
19800,176911,32598,18
19900,177900,32783,18
20000,178254,32862,16
20100,179404,33063,17
20200,180245,33229,17
20300,181033,33362,16
20400,181869,33521,17
20500,182873,33723,17
20600,183227,33797,17
20700,185422,34218,17
20800,185632,34220,18
20900,186842,34457,17
21000,186130,34285,17
21100,188140,34659,17
21200,189185,34877,18
21300,189874,34948,17
21400,191889,35371,18
21500,191889,35330,18
21600,192953,35570,18
21700,193177,35583,17
21800,193715,35681,18
21900,195140,35913,19
22000,196147,36101,17
22100,197343,36358,17
22200,198539,36575,19
22300,199736,36772,19
22400,199730,36800,18
22500,201050,37001,18
22600,201766,37140,19
22700,203047,37373,18
22800,204116,37568,18
22900,205076,37748,18
23000,206405,37992,19
23100,207130,38114,17
23200,207610,38192,18
23300,208300,38318,18
23400,209229,38491,19
23500,210039,38639,18
23600,211408,38904,20
23700,211852,38990,19
23800,213507,39296,19
23900,213444,39286,18
24000,214677,39499,18
24100,215195,39591,19
24200,216702,39889,19
24300,216204,39750,19
24400,217600,39998,19
24500,219198,40318,18
24600,220397,40561,18
24700,220696,40605,19
24800,222389,40906,19
24900,223355,41112,20
25000,223574,41128,19
25100,224721,41354,20
25200,225395,41483,19
25300,226215,41642,20
25400,227144,41756,19
25500,228117,41964,20
25600,229308,42189,20
25700,229686,42240,20
25800,230979,42484,20
25900,231603,42631,19
26000,233489,42989,19
26100,234124,43037,20
26200,234652,43160,20
26300,235207,43265,21
26400,236311,43497,20
26500,237399,43679,19
26600,237925,43735,20
26700,239009,43962,20
26800,239478,44029,20
26900,241039,44324,20
27000,241431,44381,21
27100,242770,44622,20
27200,244079,44861,21
27300,244868,44975,20
27400,246291,45261,20
27500,246252,45230,20
27600,247405,45445,21
27700,249252,45824,23
27800,250035,45966,20
27900,250359,45986,22
28000,251438,46211,22
28100,252324,46379,22
28200,253511,46584,21
28300,252653,46373,21
28400,254972,46851,20
28500,255954,47004,21
28600,255663,46941,21
28700,256263,47032,21
28800,258667,47483,22
28900,259322,47618,20
29000,260608,47842,20
29100,261029,47948,21
29200,260705,47862,21
29300,262504,48188,21
29400,264100,48497,20
29500,264364,48522,21
29600,265373,48705,22
29700,266611,48946,22
29800,265836,48777,21
29900,267589,49102,21
30000,268830,49372,21
30100,270567,49704,21
30200,270262,49614,21
30300,271872,49908,22
30400,272330,49946,22
30500,273279,50167,21
30600,274994,50495,22
30700,275987,50656,23
30800,275179,50496,22
30900,276754,50814,21
31000,277116,50833,22
31100,279443,51303,24
31200,279721,51341,22
31300,281540,51667,21
31400,280866,51550,22
31500,282411,51856,23
31600,283813,52116,23
31700,283716,52058,22
31800,285877,52494,22
31900,285737,52454,22
32000,286957,52673,23
32100,288884,53064,23
32200,288984,53020,22
32300,288802,53017,22
32400,291103,53425,22
32500,292415,53663,23
32600,292487,53644,23
32700,293372,53804,22
32800,295083,54163,22
32900,295362,54208,23
33000,297690,54622,23
33100,297043,54540,24
33200,298886,54836,23
33300,299518,54930,23
33400,299385,54883,22
33500,301591,55359,24
33600,301521,55285,23
33700,303308,55625,22
33800,302740,55521,23
33900,304988,55903,24
34000,306070,56099,23
34100,306245,56129,23
34200,307554,56351,24
34300,308943,56614,24
34400,307658,56387,24
34500,310344,56892,23
34600,309541,56682,23
34700,311474,57041,23
34800,312391,57265,27
34900,314436,57626,24
35000,315225,57735,24
35100,314742,57636,24
35200,317226,58094,24
35300,317954,58247,24
35400,318071,58275,24
35500,319665,58577,24
35600,318860,58405,25
35700,320786,58748,24
35800,321458,58857,24
35900,322897,59141,25
36000,323527,59224,23
36100,323876,59305,24
36200,326262,59728,24
36300,326674,59796,25
36400,327593,59994,24
36500,326180,59689,24
36600,329781,60392,24
36700,329379,60304,25
36800,331489,60702,24
36900,331105,60615,24
37000,333356,61025,24
37100,334357,61218,25
37200,333997,61141,25
37300,336326,61569,25
37400,336757,61645,25
37500,337415,61793,24
37600,338874,62092,25
37700,340488,62344,25
37800,340555,62349,25
37900,341665,62515,25
38000,341502,62547,26
38100,343125,62817,26
38200,343332,62824,27
38300,345233,63200,26
38400,345336,63202,26
38500,347553,63652,26
38600,348222,63706,26
38700,349457,63980,26
38800,349398,63951,26
38900,349365,63944,26
39000,351464,64333,26
39100,352240,64470,25
39200,353451,64660,25
39300,353412,64685,26
39400,354602,64895,26
39500,355310,65018,26
39600,356649,65218,25
39700,356723,65297,25
39800,357479,65428,26
39900,358993,65727,26
40000,359454,65793,27
40100,360968,66033,26
40200,361653,66163,27
40300,363266,66520,26
40400,363721,66585,27
40500,363644,66545,28
40600,364587,66752,28
40700,366930,67189,26
40800,366759,67117,28
40900,368696,67462,26
41000,369128,67565,26
41100,370845,67923,25
41200,370034,67655,28
41300,372657,68210,27
41400,372890,68217,27
41500,374825,68629,27
41600,374714,68587,27
41700,374553,68520,27
41800,376876,69005,27
41900,377616,69114,27
42000,379525,69456,28
42100,378892,69324,47
42200,380317,69562,28
42300,381007,69680,27
42400,381419,69744,27
42500,382039,69878,27
42600,384155,70282,27
42700,384289,70286,27
42800,384694,70360,29
42900,384736,70359,27
43000,387925,70961,27
43100,388173,70958,28
43200,389385,71213,27
43300,391356,71582,29
43400,391166,71526,31
43500,392253,71712,28
43600,392729,71845,28
43700,394138,72047,29
43800,394818,72177,28
43900,395873,72344,28
44000,396027,72429,30
44100,396198,72405,29
44200,398371,72803,27
44300,399662,73061,28
44400,401369,73375,29
44500,400695,73233,28
44600,403001,73684,28
44700,402468,73553,28
44800,402089,73461,28
44900,404962,74002,29
45000,405717,74131,28
45100,406645,74353,30
45200,408563,74704,29
45300,409011,74770,29
