n,AvgRounds,MinRounds,MaxRounds
1000,56.15,30,85
2000,64.6,41,90
3000,80.65,58,113
4000,84.3,64,122
5000,93.55,65,141
6000,92.5,69,127
7000,113.9,70,181
8000,116.55,74,171
9000,119.6,88,193
10000,123.5,85,174
