n,scenario,metric,avg_cost,max_cost
10000,ascending_test,key_comparisons,10.492170,9481
10000,ascending_test,pointer_operations,91.764840,66362
10000,ascending_test,tree_height,2518.033420,9999
10000,random_test,key_comparisons,17.256800,42
10000,random_test,pointer_operations,142.011610,397
10000,random_test,tree_height,29.771370,51
20000,ascending_test,key_comparisons,11.311520,17801
20000,ascending_test,pointer_operations,99.956370,124602
20000,ascending_test,tree_height,5021.176200,19999
20000,random_test,key_comparisons,18.780635,45
20000,random_test,pointer_operations,155.436870,429
20000,random_test,tree_height,33.143820,54
30000,ascending_test,key_comparisons,11.775520,26449
30000,ascending_test,pointer_operations,104.544903,185138
30000,ascending_test,tree_height,7522.104383,29999
30000,random_test,key_comparisons,19.697873,49
30000,random_test,pointer_operations,163.499180,464
30000,random_test,tree_height,35.010723,58
40000,ascending_test,key_comparisons,12.120952,39740
40000,ascending_test,pointer_operations,107.987955,278174
40000,ascending_test,tree_height,10023.035428,39999
40000,random_test,key_comparisons,20.329855,49
40000,random_test,pointer_operations,169.090535,479
40000,random_test,tree_height,36.449685,61
50000,ascending_test,key_comparisons,12.393736,41683
50000,ascending_test,pointer_operations,110.688162,291776
50000,ascending_test,tree_height,12524.102584,49999
50000,random_test,key_comparisons,20.821998,49
50000,random_test,pointer_operations,173.386078,503
50000,random_test,tree_height,37.473076,63
60000,ascending_test,key_comparisons,12.605997,53631
60000,ascending_test,pointer_operations,112.816025,375412
60000,ascending_test,tree_height,15023.338222,59999
60000,random_test,key_comparisons,21.222935,53
60000,random_test,pointer_operations,176.953392,538
60000,random_test,tree_height,38.331875,62
70000,ascending_test,key_comparisons,12.785400,68583
70000,ascending_test,pointer_operations,114.582123,480076
70000,ascending_test,tree_height,17524.844246,69999
70000,random_test,key_comparisons,21.557190,52
70000,random_test,pointer_operations,179.885431,499
70000,random_test,tree_height,39.062189,61
80000,ascending_test,key_comparisons,12.943625,74139
80000,ascending_test,pointer_operations,116.186459,518968
80000,ascending_test,tree_height,20025.613303,79999
80000,random_test,key_comparisons,21.857671,53
80000,random_test,pointer_operations,182.517652,502
80000,random_test,tree_height,39.611696,66
90000,ascending_test,key_comparisons,13.071249,53482
90000,ascending_test,pointer_operations,117.481623,374368
90000,ascending_test,tree_height,22526.837467,89999
90000,random_test,key_comparisons,22.114246,54
90000,random_test,pointer_operations,184.778400,524
90000,random_test,tree_height,40.283667,64
100000,ascending_test,key_comparisons,13.209165,91126
100000,ascending_test,pointer_operations,118.816152,637876
100000,ascending_test,tree_height,25026.402871,99999
100000,random_test,key_comparisons,22.342725,54
100000,random_test,pointer_operations,186.807711,524
100000,random_test,tree_height,40.712791,65
