n,comparisons,swaps
100,304,168
200,603,331
300,794,394
400,1028,519
500,1253,619
600,1571,852
700,1754,887
800,1951,1006
900,2169,1075
1000,2486,1317
1100,2571,1273
1200,2945,1494
1300,2898,1471
1400,3134,1631
1500,3365,1722
1600,3472,1588
1700,3961,2045
1800,3829,1773
1900,4498,2441
2000,3835,1776
2100,4487,2249
2200,4866,2437
2300,4952,2502
2400,5495,2837
2500,5243,2546
2600,6021,3164
2700,5351,2486
2800,6332,3354
2900,6064,2956
3000,6608,3399
3100,7082,3789
3200,6572,3113
3300,7095,3635
3400,7582,3941
3500,7581,3753
3600,7682,3902
3700,7937,3958
3800,8793,4791
3900,8010,3807
4000,8047,3900
4100,8438,4059
4200,7998,3525
4300,8872,4262
4400,8824,4226
4500,10016,5116
4600,9604,4682
4700,9363,4496
4800,10585,5488
4900,10233,5166
5000,10576,5387
5100,10685,5408
5200,10654,5145
5300,10977,5600
5400,10712,5127
5500,12416,6791
5600,11434,5652
5700,11718,5824
5800,11873,5937
5900,12452,6468
6000,12948,6794
6100,11494,5269
6200,13573,7133
6300,13126,6705
6400,14278,7494
6500,12380,5688
6600,13007,6082
6700,12924,5970
6800,15152,8233
6900,15065,7923
7000,14241,6983
7100,14093,6830
7200,14433,7129
7300,15769,8185
7400,14090,6629
7500,15041,7408
7600,14703,6785
7700,15246,7334
7800,16306,8285
7900,15769,7638
8000,17006,8946
8100,16797,8563
8200,16331,8038
8300,17020,8559
8400,16811,8251
8500,16900,8278
8600,17288,8381
8700,18579,9514
8800,17053,7895
8900,18806,9750
9000,19516,10137
9100,18956,9682
9200,19285,9836
9300,19773,10085
9400,20009,10036
9500,21140,11394
9600,19709,9823
9700,19650,9739
9800,19505,9567
9900,19615,9640
10000,22458,12174
10100,20087,9757
10200,22435,12086
10300,19972,9135
10400,21443,10719
10500,22264,11327
10600,19086,8113
10700,22817,11660
10800,21951,10959
10900,22582,11334
11000,20992,9505
11100,22661,10833
11200,22720,10983
11300,22748,11386
11400,23324,11706
11500,25495,13555
11600,23087,11328
11700,23442,11309
11800,26884,14831
11900,22589,10527
12000,24329,12139
12100,24709,12504
12200,25937,13520
12300,26607,14067
12400,25448,12853
12500,25359,12684
12600,24080,11343
12700,26333,13379
12800,25347,12181
12900,26604,13502
13000,25146,11784
13100,27398,13799
13200,27894,14415
13300,27338,13906
13400,27411,13889
13500,27833,14138
13600,28691,14681
13700,29593,15803
13800,29010,15019
13900,29578,15026
14000,27555,13295
14100,26924,12262
14200,26316,11898
14300,29335,14460
14400,27299,12629
14500,27470,12859
14600,31668,16285
14700,28406,13575
14800,29867,14952
14900,32356,17280
15000,32466,17076
15100,29689,14532
15200,32185,16721
15300,33901,17994
15400,30116,14502
15500,33306,17334
15600,32209,16484
15700,29319,13147
15800,32695,16471
15900,34501,18093
16000,30685,14201
16100,33122,16815
16200,31773,15433
16300,33810,17148
16400,36525,19681
16500,34226,17661
16600,34892,18131
16700,33792,16937
16800,30662,13612
16900,35297,18183
17000,32926,15695
17100,34543,17332
17200,34630,17066
17300,33148,15553
17400,33772,16143
17500,36957,19274
17600,34970,16747
17700,34292,16494
17800,36505,18448
17900,36714,18229
18000,35673,17161
18100,36698,18404
18200,38822,20264
18300,36651,17916
18400,40354,21519
18500,35338,16765
18600,38526,19364
18700,38329,19488
18800,36075,17021
18900,39670,20471
19000,38671,19438
19100,37778,18419
19200,36677,17248
19300,40664,20733
19400,39074,19149
19500,38665,18856
19600,42349,22639
19700,41975,22043
19800,40727,20218
19900,38047,17571
20000,38189,17945
20100,40429,20043
20200,44413,23574
20300,40236,19796
20400,43361,22857
20500,41679,21034
20600,38789,17990
20700,39891,18812
20800,43650,22482
20900,40695,19594
21000,43349,22235
21100,43041,21758
21200,42474,21169
21300,41192,19575
21400,45936,24330
21500,44798,22858
21600,45314,23399
21700,42987,20823
21800,41385,19189
21900,48766,26642
22000,39970,17638
22100,42681,20113
22200,49964,27548
22300,49036,26584
22400,45107,22558
22500,45008,22209
22600,46569,23759
22700,45917,22698
22800,48913,25878
22900,44255,21219
23000,47212,24087
23100,44771,21441
23200,49057,25596
23300,47992,24047
23400,42630,18992
23500,47581,23605
23600,50616,26944
23700,47869,23988
