n,comparisons,swaps
23800,45255,20952
23900,46015,21864
24000,50718,25937
24100,47802,23443
24200,47212,22542
24300,48298,23649
24400,49686,24855
24500,55130,30055
24600,45901,21211
24700,50803,25857
24800,53560,28557
24900,55271,30158
25000,51701,26397
25100,53244,27844
25200,53388,28001
25300,51896,26509
25400,48420,22740
25500,52930,27367
25600,50253,24405
25700,53918,27990
25800,53679,27163
25900,52819,26820
26000,50940,24524
26100,54650,28326
26200,56825,30518
26300,51064,24600
26400,50793,24062
26500,59558,32395
26600,56135,29310
26700,56209,29345
26800,51633,24606
26900,55526,28264
27000,55092,27348
27100,52956,25358
27200,57068,28384
27300,55556,28061
27400,61042,32874
27500,54524,26699
27600,56382,28646
27700,53662,25747
27800,58172,29776
27900,61595,33442
28000,57172,28854
28100,54466,26258
28200,55435,27127
28300,53748,25322
28400,55528,26689
28500,51153,22467
28600,62713,33783
28700,59819,30935
28800,55172,26219
28900,54850,25635
29000,58444,29225
29100,63140,33247
29200,59385,29880
29300,57258,27857
29400,59366,29637
29500,59561,29870
29600,55338,25649
29700,56233,26420
29800,57902,27978
29900,64002,33361
30000,59061,28873
30100,64155,33702
30200,63288,32642
30300,61293,30177
30400,59723,28836
30500,66173,35368
30600,60303,29582
30700,58881,27978
30800,64227,33283
30900,63942,32853
31000,66550,34881
31100,65406,34010
31200,62286,30603
31300,61989,30331
31400,60019,28508
31500,64600,32762
31600,61354,29600
31700,64116,32330
31800,61716,29554
31900,71373,39267
32000,64030,31752
32100,62558,30325
32200,68803,36337
32300,62485,29606
32400,70020,37389
32500,70338,37737
32600,71656,38815
32700,69658,36109
32800,61609,28752
32900,67038,34019
33000,68442,35286
33100,65092,31720
33200,71635,37874
33300,67396,33957
33400,71083,36878
33500,72415,38687
33600,70967,36901
33700,73374,39526
33800,68433,34424
33900,68793,34588
34000,66643,32563
34100,73374,39038
34200,70300,35789
34300,67468,33004
34400,71059,36395
34500,69306,34615
34600,74185,39212
34700,68044,33083
34800,67239,32266
34900,73966,37819
35000,70127,34924
35100,70291,35030
35200,74100,37867
35300,72379,36930
35400,75171,39442
35500,68342,32359
35600,71951,36223
35700,75795,39789
35800,71259,35193
35900,69266,32974
36000,70433,33525
36100,69227,32331
36200,70072,32021
36300,74183,37762
36400,74550,37739
36500,67350,30648
36600,74115,37252
36700,72327,35023
36800,67116,30097
36900,73847,36836
37000,75733,38317
37100,72641,35390
37200,76414,38886
37300,76678,39178
37400,80963,43373
37500,74508,36858
37600,74562,36895
37700,76437,38663
37800,70825,32859
37900,75779,37774
38000,76712,38546
38100,86336,48117
38200,70644,32219
38300,83707,45147
38400,79802,41277
38500,78356,39675
38600,78899,40228
38700,78411,39603
38800,76012,37136
38900,70063,30945
39000,79805,40602
39100,80471,41254
39200,73288,33925
39300,82565,43183
39400,78433,38783
39500,79846,40211
39600,82306,42084
39700,82692,42810
39800,77745,37668
39900,81287,41156
40000,76590,36448
40100,82655,42435
40200,77999,37725
40300,83638,42950
40400,89038,48506
40500,80728,40139
40600,87989,46733
40700,91075,49660
40800,77427,36166
40900,79640,38589
41000,81792,40293
41100,90343,48854
41200,76159,34859
41300,88815,47425
41400,84448,43003
41500,88090,46272
41600,85560,43741
41700,81846,39659
41800,80127,38215
41900,81177,38610
42000,87786,45568
42100,81284,38222
42200,78094,35627
42300,81675,39072
42400,86658,43963
42500,90787,47093
42600,89812,46262
42700,96876,53943
42800,86501,43532
42900,85480,42372
43000,88119,44736
43100,87487,44211
43200,86828,43486
43300,84272,40798
43400,91704,48101
43500,93134,49575
43600,94139,50280
43700,85126,41226
43800,88632,44631
43900,85067,40972
44000,88089,43865
44100,94359,49240
44200,92806,48227
44300,93627,49085
44400,88883,44109
44500,84438,39785
44600,91745,46833
44700,90830,45750
44800,97450,52268
44900,92430,47085
45000,96290,51091
45100,89524,44091
45200,93036,47034
45300,95107,49653
45400,93613,47931
45500,90622,44994
45600,96551,50719
45700,91833,45565
45800,90719,44756
45900,98273,52045
46000,91432,45136
46100,93661,47424
46200,96728,50282
46300,83659,37173
46400,94746,48172
46500,91195,44427
46600,98284,51551
46700,100203,53256
46800,88483,41457
46900,89883,42869
47000,99231,51957
47100,96527,49151
47200,101604,54186
47300,93299,45807
47400,96196,48580
47500,99841,52137
47600,95121,47190
47700,95042,47250
47800,95150,47118
47900,91297,43117
48000,103898,55712
48100,100523,52263
48200,96481,48165
48300,94689,46224
48400,99110,50418
48500,100037,51351
48600,102129,52525
48700,103253,54455
48800,94700,45689
48900,99858,50887
49000,99295,49958
49100,103559,54284
49200,103322,52849
49300,104893,55299
49400,99015,49477
49500,100994,51288
49600,100849,51120
49700,98061,48081
49800,92722,42813
49900,93377,43145
50000,110233,59813
