n,comparisons,swaps
100,671,152
200,1453,310
300,2308,487
400,3100,639
500,3956,806
600,4754,958
700,5665,1142
800,6442,1283
900,7311,1438
1000,8138,1599
1100,9070,1790
1200,9871,1937
1300,10771,2112
1400,11654,2283
1500,12558,2452
1600,13389,2604
1700,14190,2742
1800,15131,2925
1900,16007,3080
2000,16687,3197
2100,17836,3442
2200,18586,3564
2300,19530,3746
2400,20256,3875
2500,21275,4076
2600,21996,4213
2700,22899,4372
2800,23884,4557
2900,24761,4726
3000,25663,4893
3100,26465,5050
3200,27409,5231
3300,28363,5409
3400,29229,5560
3500,29943,5681
3600,30763,5833
3700,31820,6033
3800,32673,6186
3900,33540,6336
4000,34453,6528
4100,35207,6670
4200,36322,6867
4300,36899,6968
4400,37655,7084
4500,38669,7284
4600,39854,7518
4700,40688,7677
4800,41658,7857
4900,42352,7972
5000,43369,8171
5100,44121,8314
5200,45255,8537
5300,46125,8698
5400,46789,8805
5500,47388,8909
5600,48813,9178
5700,49579,9325
5800,50418,9472
5900,51387,9655
6000,52216,9808
6100,53225,10001
6200,54115,10172
6300,54651,10259
6400,55431,10409
6500,56840,10682
6600,57336,10764
6700,58707,11017
6800,59012,11061
6900,60150,11263
7000,61233,11468
7100,61754,11554
7200,63114,11802
7300,63877,11951
7400,64763,12114
7500,65538,12251
7600,66233,12371
7700,67352,12586
7800,68108,12716
7900,69589,13017
8000,70339,13154
8100,71115,13296
8200,71659,13374
8300,72980,13644
8400,73672,13759
8500,74223,13845
8600,75489,14073
8700,76400,14243
8800,76774,14284
8900,77761,14478
9000,78677,14639
9100,80067,14913
9200,80827,15045
9300,81712,15204
9400,82105,15279
9500,83635,15558
9600,84749,15782
9700,85664,15953
9800,86760,16149
9900,87059,16195
10000,88086,16383
10100,89004,16568
10200,90039,16788
10300,90501,16828
10400,91632,17038
10500,92466,17186
10600,93399,17366
10700,93954,17463
10800,95266,17701
10900,96220,17891
11000,97198,18070
11100,98048,18234
11200,98974,18403
11300,100138,18612
11400,99902,18548
11500,101555,18854
11600,101957,18921
11700,103237,19176
11800,104254,19352
11900,104972,19497
12000,106277,19745
12100,106932,19875
12200,107598,19974
12300,108708,20185
12400,109729,20376
12500,110499,20517
12600,111507,20709
12700,112300,20843
12800,113155,21000
12900,113998,21160
13000,115660,21475
13100,116202,21571
13200,117078,21738
13300,117890,21870
13400,119158,22112
13500,120042,22275
13600,120282,22304
13700,121233,22457
13800,122568,22729
13900,123044,22798
14000,124557,23074
14100,125031,23164
14200,126118,23369
14300,126532,23400
14400,128149,23706
14500,128881,23864
14600,129339,23935
14700,130911,24240
14800,131533,24348
14900,132633,24557
15000,133116,24637
15100,134398,24874
15200,134510,24889
15300,135546,25076
15400,136466,25240
15500,137376,25405
15600,139113,25750
15700,139521,25802
15800,140103,25940
15900,141431,26166
16000,141731,26226
16100,143579,26569
16200,144262,26687
16300,144679,26745
16400,146124,27051
16500,147190,27260
16600,147644,27304
16700,148977,27545
16800,150015,27750
16900,150638,27840
17000,150792,27858
17100,152436,28158
17200,152626,28180
17300,153170,28263
17400,154720,28552
17500,156573,28899
17600,156740,28925
17700,157804,29143
17800,158384,29226
17900,158328,29199
18000,160238,29557
18100,160086,29536
18200,162919,30063
18300,163428,30152
18400,164530,30352
18500,164660,30350
18600,166157,30667
18700,166949,30768
18800,167715,30908
18900,168517,31078
19000,170237,31412
19100,170303,31396
19200,171142,31573
19300,171843,31683
19400,172599,31787
19500,174130,32098
19600,173923,32062
19700,176009,32450
19800,177269,32695
19900,178154,32864
20000,179203,33063
20100,179173,33037
20200,180294,33218
20300,180837,33347
20400,181461,33450
20500,182916,33709
20600,184001,33953
20700,183938,33877
20800,186179,34302
20900,186603,34407
21000,187260,34528
21100,188825,34789
21200,189304,34882
21300,190275,35052
21400,191832,35364
21500,191768,35306
21600,193029,35553
21700,194346,35781
21800,194341,35789
21900,195450,35984
22000,196657,36225
22100,197343,36334
22200,198500,36547
22300,199037,36636
22400,201261,37069
22500,200533,36885
22600,202009,37208
22700,202901,37341
22800,204616,37678
22900,205435,37817
23000,205566,37814
23100,205924,37889
23200,207633,38201
23300,208564,38381
23400,209620,38601
23500,209815,38599
23600,211167,38861
23700,211973,38996
23800,211737,38937
23900,214255,39396
24000,215054,39548
24100,216116,39761
24200,216881,39908
24300,217339,39993
24400,218451,40171
24500,219286,40361
24600,219810,40442
24700,221230,40697
24800,222646,40963
24900,221774,40767
25000,223460,41098
25100,224321,41300
25200,224768,41350
25300,226040,41574
25400,227335,41829
25500,227770,41910
25600,229313,42184
25700,229674,42224
25800,230851,42487
25900,231871,42662
26000,232835,42826
26100,234054,43058
26200,233977,43023
26300,236113,43433
26400,237198,43641
26500,237373,43685
26600,238436,43849
26700,239089,43984
26800,240306,44166
26900,241873,44470
27000,240732,44223
27100,241742,44444
27200,243984,44839
27300,244597,44967
27400,245101,45034
27500,247134,45422
27600,247030,45400
27700,248297,45650
27800,249403,45821
27900,249592,45873
28000,251562,46219
28100,252092,46338
28200,252266,46314
28300,253385,46541
28400,255059,46874
28500,255869,47012
28600,255840,46967
28700,256463,47103
28800,257411,47239
28900,259683,47692
29000,259945,47722
29100,260935,47936
29200,261307,47984
29300,263300,48306
29400,263171,48311
29500,264621,48546
29600,265929,48849
29700,267590,49149
29800,267037,49011
29900,267950,49193
30000,269437,49467
30100,270006,49598
30200,270963,49766
30300,271470,49855
30400,272699,50054
30500,273285,50184
30600,274908,50447
30700,276029,50666
30800,276490,50733
30900,277760,50950
31000,278483,51165
31100,279163,51253
31200,279766,51365
31300,281034,51592
