path_length generated_states visited_states solve_time_ms heuristic_type
24 369 225 7.161 linearConflict
20 363 223 7.349 linearConflict
12 58 32 6.236 linearConflict
28 1208 764 11.673 linearConflict
22 575 355 8.678 linearConflict
22 260 155 7.276 linearConflict
26 1212 751 11.62 linearConflict
20 425 255 7.446 linearConflict
24 492 298 7.939 linearConflict
20 164 98 6.354 linearConflict
26 324 205 8.057 linearConflict
20 548 330 8.668 linearConflict
24 289 171 10.979 linearConflict
18 131 82 6.319 linearConflict
26 446 271 8.513 linearConflict
22 430 253 8.566 linearConflict
28 406 244 13.536 linearConflict
20 424 259 7.754 linearConflict
24 420 257 8.683 linearConflict
22 477 292 8.346 linearConflict
20 111 64 6.43 linearConflict
16 81 46 5.829 linearConflict
28 1235 765 11.175 linearConflict
26 511 310 9.296 linearConflict
22 896 547 10.7 linearConflict
24 705 426 8.621 linearConflict
16 121 71 6.084 linearConflict
26 589 368 7.901 linearConflict
26 702 431 8.55 linearConflict
10 25 14 5.971 linearConflict
18 183 113 6.314 linearConflict
18 133 79 6.174 linearConflict
24 483 297 8.353 linearConflict
24 165 105 6.466 linearConflict
20 450 273 11.177 linearConflict
26 918 574 10.06 linearConflict
30 1557 983 12.874 linearConflict
20 336 193 6.947 linearConflict
26 743 462 10.919 linearConflict
24 212 122 6.699 linearConflict
22 277 167 6.697 linearConflict
16 156 93 6.47 linearConflict
24 346 208 7.35 linearConflict
24 316 196 7.939 linearConflict
24 642 391 8.64 linearConflict
24 2191 1368 16.694 linearConflict
28 1306 810 11.936 linearConflict
26 713 446 9.089 linearConflict
24 707 440 8.468 linearConflict
28 1223 758 10.72 linearConflict
22 220 131 6.468 linearConflict
22 170 104 6.602 linearConflict
20 370 223 7.712 linearConflict
28 989 606 10.47 linearConflict
20 243 144 6.56 linearConflict
16 90 52 6.197 linearConflict
18 151 90 7.407 linearConflict
28 755 473 9.013 linearConflict
24 246 148 6.652 linearConflict
22 379 229 7.941 linearConflict
20 218 128 6.567 linearConflict
24 1048 649 11.534 linearConflict
28 1116 701 10.426 linearConflict
24 335 206 6.969 linearConflict
24 728 442 8.74 linearConflict
24 1493 929 12.422 linearConflict
26 521 327 8.926 linearConflict
24 298 176 6.736 linearConflict
26 493 308 16.609 linearConflict
18 186 108 6.433 linearConflict
