path_length generated_states visited_states solve_time_ms heuristic_type
22 151 91 6.163 linearConflict
24 898 546 9.692 linearConflict
18 399 238 7.975 linearConflict
30 3027 1897 20.238 linearConflict
22 957 592 10.289 linearConflict
22 529 319 7.798 linearConflict
24 420 252 7.534 linearConflict
22 259 156 6.64 linearConflict
26 785 482 8.996 linearConflict
22 689 429 9.216 linearConflict
24 234 139 6.888 linearConflict
24 324 192 7.188 linearConflict
24 428 259 7.627 linearConflict
24 575 355 8.026 linearConflict
26 409 253 7.068 linearConflict
24 524 327 8.106 linearConflict
22 287 169 7.412 linearConflict
24 458 283 7.518 linearConflict
26 742 456 8.858 linearConflict
20 116 70 5.984 linearConflict
24 588 362 8.176 linearConflict
22 263 152 6.569 linearConflict
24 355 220 7 linearConflict
26 467 287 7.717 linearConflict
20 160 93 6.198 linearConflict
18 195 117 6.426 linearConflict
30 777 489 8.619 linearConflict
22 449 276 7.827 linearConflict
18 195 117 6.317 linearConflict
20 302 187 7.121 linearConflict
22 788 489 9.079 linearConflict
14 51 28 6.055 linearConflict
22 92 52 6.633 linearConflict
20 514 315 7.841 linearConflict
16 96 53 6.62 linearConflict
22 460 279 8.191 linearConflict
18 186 108 6.394 linearConflict
22 440 264 7.324 linearConflict
28 989 606 9.797 linearConflict
14 124 72 6.474 linearConflict
20 424 254 7.92 linearConflict
20 582 360 12.805 linearConflict
24 539 325 7.838 linearConflict
26 240 144 6.817 linearConflict
22 634 387 8.538 linearConflict
26 317 193 6.922 linearConflict
26 552 341 8.005 linearConflict
24 384 234 7.548 linearConflict
24 199 121 7.231 linearConflict
14 26 16 5.626 linearConflict
12 46 25 5.616 linearConflict
26 648 392 8.398 linearConflict
18 147 85 6.196 linearConflict
20 322 195 7.095 linearConflict
24 316 190 6.707 linearConflict
20 267 157 6.886 linearConflict
28 726 444 10.112 linearConflict
22 514 322 8.903 linearConflict
22 314 192 7.387 linearConflict
30 1446 901 12.298 linearConflict
28 1271 794 11.552 linearConflict
22 473 293 7.959 linearConflict
16 87 51 6.836 linearConflict
20 259 155 6.769 linearConflict
24 376 227 7.388 linearConflict
30 760 481 9.479 linearConflict
26 1091 678 11.73 linearConflict
26 526 319 7.692 linearConflict
24 240 144 6.881 linearConflict
18 183 108 6.892 linearConflict
24 493 304 7.666 linearConflict
22 741 468 9.195 linearConflict
26 1089 677 11.578 linearConflict
22 143 89 7.044 linearConflict
20 159 94 6.409 linearConflict
16 224 135 6.608 linearConflict
24 121 71 6.319 linearConflict
22 536 334 8.546 linearConflict
26 597 367 9.907 linearConflict
30 1350 834 12.122 linearConflict
18 122 70 6.203 linearConflict
20 168 105 6.821 linearConflict
26 385 231 8.227 linearConflict
22 664 410 9.7 linearConflict
30 906 565 10.028 linearConflict
26 349 213 8.119 linearConflict
22 357 210 7.177 linearConflict
22 620 388 12.731 linearConflict
24 650 402 8.52 linearConflict
30 1218 764 11.181 linearConflict
22 438 263 7.892 linearConflict
28 532 323 7.844 linearConflict
20 298 181 6.807 linearConflict
18 375 233 8.687 linearConflict
22 618 375 9.451 linearConflict
26 592 365 9.141 linearConflict
14 72 41 5.835 linearConflict
28 1257 812 11.197 linearConflict
20 181 104 7.675 linearConflict
26 454 269 7.709 linearConflict
24 507 318 8.184 linearConflict
28 639 401 10.36 linearConflict
22 338 202 6.988 linearConflict
24 230 144 7.214 linearConflict
22 339 203 9.653 linearConflict
22 538 327 8.729 linearConflict
24 267 161 7.426 linearConflict
26 368 226 7.075 linearConflict
18 102 62 7.046 linearConflict
18 213 123 7.19 linearConflict
22 296 182 6.839 linearConflict
24 599 359 9.417 linearConflict
22 402 244 7.36 linearConflict
28 452 275 7.297 linearConflict
20 579 353 9.153 linearConflict
24 311 187 6.967 linearConflict
28 1493 935 11.736 linearConflict
28 812 507 9.201 linearConflict
26 1149 715 10.441 linearConflict
30 1115 698 10.339 linearConflict
18 118 73 6.223 linearConflict
26 779 473 9.886 linearConflict
22 283 170 8.039 linearConflict
28 1218 766 11.743 linearConflict
22 317 197 7.344 linearConflict
22 327 187 6.98 linearConflict
26 533 324 7.798 linearConflict
16 195 114 8.079 linearConflict
20 236 139 6.725 linearConflict
20 149 88 6.926 linearConflict
26 625 377 8.208 linearConflict
28 1392 867 12.584 linearConflict
26 295 179 7.191 linearConflict
26 632 392 8.728 linearConflict
24 166 98 6.546 linearConflict
22 160 102 7.125 linearConflict
22 205 125 6.976 linearConflict
24 417 258 7.412 linearConflict
20 206 123 6.288 linearConflict
22 429 264 9.063 linearConflict
22 655 394 8.72 linearConflict
18 324 199 7.423 linearConflict
22 253 155 6.74 linearConflict
22 173 103 6.893 linearConflict
16 145 85 6.229 linearConflict
24 183 108 6.375 linearConflict
26 202 125 7.015 linearConflict
26 472 293 7.458 linearConflict
22 255 162 8.404 linearConflict
22 235 141 7.484 linearConflict
24 278 171 7.803 linearConflict
16 68 40 5.656 linearConflict
22 227 136 6.342 linearConflict
18 155 89 6.591 linearConflict
20 176 109 6.107 linearConflict
26 840 522 8.755 linearConflict
20 190 112 6.606 linearConflict
12 48 26 6.231 linearConflict
16 182 107 6.831 linearConflict
18 206 122 7.139 linearConflict
20 87 51 7.989 linearConflict
18 252 156 7.991 linearConflict
20 230 141 7.218 linearConflict
26 570 350 18.941 linearConflict
22 684 429 12.8 linearConflict
18 88 56 6.25 linearConflict
22 514 315 7.731 linearConflict
28 418 256 7.277 linearConflict
20 313 184 7.918 linearConflict
20 390 237 8.746 linearConflict
28 575 351 9.098 linearConflict
20 218 131 6.852 linearConflict
22 280 168 6.624 linearConflict
16 109 64 6.528 linearConflict
26 560 348 6.904 linearConflict
24 183 108 6.427 linearConflict
24 371 227 6.384 linearConflict
28 486 306 6.706 linearConflict
22 227 141 6.293 linearConflict
24 364 220 6.351 linearConflict
22 366 221 7.086 linearConflict
20 261 153 5.905 linearConflict
22 312 191 6.328 linearConflict
16 103 60 5.796 linearConflict
18 182 109 5.908 linearConflict
24 449 272 6.861 linearConflict
26 322 197 6.165 linearConflict
20 131 79 6.781 linearConflict
26 485 288 9.701 linearConflict
26 1011 632 11.477 linearConflict
24 338 207 7.132 linearConflict
26 756 448 9.335 linearConflict
24 797 499 10.193 linearConflict
22 151 91 6.341 linearConflict
14 29 16 6.989 linearConflict
24 415 250 7.908 linearConflict
26 1071 650 10.86 linearConflict
22 417 256 7.728 linearConflict
22 87 49 6.11 linearConflict
18 95 54 10.269 linearConflict
28 535 338 8.458 linearConflict
24 630 384 9.288 linearConflict
26 352 209 7.315 linearConflict
28 1018 631 10.048 linearConflict
16 125 75 6.211 linearConflict
26 758 471 11.256 linearConflict
24 600 372 8.751 linearConflict
26 798 489 9.664 linearConflict
22 438 265 7.245 linearConflict
30 1331 837 11.017 linearConflict
24 470 278 9.006 linearConflict
16 178 106 6.332 linearConflict
24 445 271 7.931 linearConflict
22 324 199 7.465 linearConflict
10 33 17 6.17 linearConflict
24 251 151 9.272 linearConflict
20 329 200 7.556 linearConflict
26 416 259 8.619 linearConflict
20 157 93 6.331 linearConflict
18 313 182 7.921 linearConflict
18 150 89 6.344 linearConflict
26 1140 713 13.54 linearConflict
20 193 115 6.966 linearConflict
22 200 125 6.915 linearConflict
22 262 160 7.484 linearConflict
22 494 303 8.501 linearConflict
26 877 545 9.82 linearConflict
28 632 389 8.627 linearConflict
26 622 379 8.453 linearConflict
26 414 250 7.523 linearConflict
28 418 256 9.273 linearConflict
26 561 343 8.223 linearConflict
28 1796 1127 15.888 linearConflict
20 169 104 8.246 linearConflict
24 361 224 7.421 linearConflict
26 790 491 9.419 linearConflict
20 278 172 7.39 linearConflict
26 443 271 8.983 linearConflict
22 453 279 8.444 linearConflict
16 53 32 6.514 linearConflict
20 388 234 7.764 linearConflict
24 493 297 8.188 linearConflict
24 405 249 7.311 linearConflict
24 377 232 8.079 linearConflict
12 44 27 6.369 linearConflict
22 132 76 8.353 linearConflict
18 248 152 7.499 linearConflict
20 327 199 7.303 linearConflict
20 325 189 7.078 linearConflict
28 988 619 18.139 linearConflict
24 533 330 8.539 linearConflict
16 38 22 6.097 linearConflict
14 51 29 6.245 linearConflict
24 380 227 7.814 linearConflict
24 319 193 7.531 linearConflict
20 227 134 7.396 linearConflict
20 255 148 11.979 linearConflict
24 714 424 9.13 linearConflict
14 47 27 5.902 linearConflict
26 682 420 9.293 linearConflict
22 293 171 8.513 linearConflict
26 794 486 9.596 linearConflict
20 89 54 6.388 linearConflict
26 1076 661 10.242 linearConflict
20 89 52 7.248 linearConflict
30 702 431 8.714 linearConflict
24 1202 749 11.78 linearConflict
24 123 76 6.411 linearConflict
26 724 441 8.896 linearConflict
20 180 106 7.543 linearConflict
26 944 591 11.334 linearConflict
14 49 28 6.856 linearConflict
28 845 524 10.252 linearConflict
10 33 18 5.882 linearConflict
26 585 364 9.844 linearConflict
18 182 108 6.464 linearConflict
20 316 186 7.112 linearConflict
18 172 101 6.752 linearConflict
18 110 66 7.5 linearConflict
26 917 566 11.766 linearConflict
28 513 317 8.641 linearConflict
26 667 408 9.126 linearConflict
24 390 234 13.534 linearConflict
28 1295 815 12.308 linearConflict
22 481 285 7.657 linearConflict
16 124 76 6.341 linearConflict
20 387 229 7.415 linearConflict
24 585 369 9.039 linearConflict
24 292 174 7.936 linearConflict
18 136 83 6.504 linearConflict
22 349 213 8.203 linearConflict
24 470 286 8.097 linearConflict
18 82 45 6.763 linearConflict
20 304 182 7.948 linearConflict
22 492 296 8.108 linearConflict
28 343 207 7.992 linearConflict
28 331 197 7.325 linearConflict
20 404 244 8.535 linearConflict
22 265 164 8.595 linearConflict
22 126 74 7.216 linearConflict
18 128 76 6.612 linearConflict
24 304 185 7.138 linearConflict
28 898 556 9.573 linearConflict
22 683 421 8.931 linearConflict
20 856 525 9.424 linearConflict
26 211 125 6.897 linearConflict
24 285 175 8.187 linearConflict
20 415 255 7.918 linearConflict
18 233 138 6.508 linearConflict
20 78 46 6.18 linearConflict
24 395 245 7.45 linearConflict
24 473 281 7.802 linearConflict
22 696 436 9.952 linearConflict
24 1131 685 15.742 linearConflict
20 500 311 7.772 linearConflict
20 375 223 7.759 linearConflict
14 72 41 6.192 linearConflict
16 90 51 7.839 linearConflict
24 657 408 11.326 linearConflict
18 69 40 7.111 linearConflict
22 467 281 9.29 linearConflict
22 476 290 11.079 linearConflict
26 849 524 10.059 linearConflict
22 236 137 6.947 linearConflict
28 644 404 9.276 linearConflict
28 1574 984 14.444 linearConflict
16 100 56 6.648 linearConflict
24 447 266 8.767 linearConflict
26 509 313 10.678 linearConflict
26 446 271 8.319 linearConflict
18 164 98 8.13 linearConflict
20 162 96 7.504 linearConflict
24 345 203 10.995 linearConflict
26 496 305 9.003 linearConflict
24 179 107 6.967 linearConflict
22 477 295 8.174 linearConflict
22 647 404 11.104 linearConflict
14 80 46 7.031 linearConflict
22 207 125 6.59 linearConflict
24 568 350 10.017 linearConflict
24 468 292 8.345 linearConflict
22 343 214 7.523 linearConflict
24 186 112 6.493 linearConflict
20 141 85 6.728 linearConflict
20 228 134 7.681 linearConflict
26 652 404 8.798 linearConflict
20 342 198 7.533 linearConflict
22 179 104 6.404 linearConflict
24 332 204 8.242 linearConflict
22 206 126 7.275 linearConflict
24 387 238 7.868 linearConflict
28 1028 642 10.26 linearConflict
22 717 437 9.191 linearConflict
26 470 287 7.635 linearConflict
22 239 140 6.827 linearConflict
22 344 205 7.218 linearConflict
24 363 223 7.142 linearConflict
28 730 449 9.044 linearConflict
20 237 140 7.006 linearConflict
20 241 138 6.834 linearConflict
26 369 226 7.193 linearConflict
12 26 14 5.52 linearConflict
14 82 46 5.917 linearConflict
24 219 130 6.666 linearConflict
24 308 198 7.95 linearConflict
24 556 336 9.554 linearConflict
24 124 72 7.224 linearConflict
22 852 521 10.339 linearConflict
14 95 56 6.324 linearConflict
28 1072 663 11.498 linearConflict
18 166 98 6.388 linearConflict
22 652 403 9.024 linearConflict
24 467 289 9.028 linearConflict
16 107 61 12.694 linearConflict
22 417 255 9.286 linearConflict
22 355 212 7.685 linearConflict
24 846 529 9.345 linearConflict
24 645 391 10.381 linearConflict
22 74 43 7.76 linearConflict
20 542 323 8.322 linearConflict
22 247 146 8.071 linearConflict
22 388 236 8.203 linearConflict
24 360 218 8.48 linearConflict
20 400 238 7.914 linearConflict
24 460 281 8.008 linearConflict
18 186 107 8.542 linearConflict
22 847 532 9.969 linearConflict
22 312 193 7.683 linearConflict
20 381 231 7.916 linearConflict
22 232 139 7.184 linearConflict
20 238 142 8.712 linearConflict
22 433 268 8.193 linearConflict
22 264 160 7.93 linearConflict
22 497 303 8.064 linearConflict
24 384 233 7.565 linearConflict
26 703 417 10.929 linearConflict
26 627 384 9.539 linearConflict
26 1104 697 11.239 linearConflict
24 378 235 7.537 linearConflict
26 831 508 9.457 linearConflict
28 523 329 8.873 linearConflict
24 634 378 10.415 linearConflict
26 724 453 12.048 linearConflict
24 454 283 9.137 linearConflict
18 171 102 6.457 linearConflict
26 625 376 8.526 linearConflict
26 812 494 10.508 linearConflict
30 1483 933 11.911 linearConflict
30 1156 714 9.918 linearConflict
24 376 228 7.678 linearConflict
22 518 319 7.61 linearConflict
20 636 395 7.933 linearConflict
28 791 493 8.124 linearConflict
24 390 236 6.601 linearConflict
18 235 135 6.92 linearConflict
28 557 346 7.417 linearConflict
20 453 279 6.983 linearConflict
26 347 208 7.056 linearConflict
24 600 367 7.676 linearConflict
20 245 145 5.899 linearConflict
26 505 311 6.747 linearConflict
26 338 202 6.972 linearConflict
30 1077 684 9.614 linearConflict
22 298 177 7.408 linearConflict
18 139 84 6.953 linearConflict
22 136 85 6.833 linearConflict
22 162 93 6.387 linearConflict
28 625 391 10.654 linearConflict
26 982 614 11.132 linearConflict
18 472 288 9.597 linearConflict
22 183 110 6.631 linearConflict
28 494 298 7.861 linearConflict
28 845 524 11.157 linearConflict
16 145 85 6.089 linearConflict
28 968 610 9.799 linearConflict
20 123 73 5.976 linearConflict
30 910 563 10.633 linearConflict
22 158 92 6.61 linearConflict
20 270 167 7.094 linearConflict
26 922 571 10.376 linearConflict
30 375 232 7.15 linearConflict
18 175 101 6.706 linearConflict
24 418 253 10.208 linearConflict
24 646 400 9.976 linearConflict
22 449 268 8.139 linearConflict
18 144 85 7.602 linearConflict
22 334 206 7.199 linearConflict
18 107 66 6.329 linearConflict
22 422 259 7.778 linearConflict
24 280 174 6.941 linearConflict
24 825 514 10.495 linearConflict
20 605 364 10.129 linearConflict
26 604 363 9.406 linearConflict
18 186 107 7.2 linearConflict
20 305 178 7.494 linearConflict
24 353 211 7.777 linearConflict
16 42 24 7.141 linearConflict
26 274 166 8.323 linearConflict
30 975 597 11.067 linearConflict
22 198 117 7.817 linearConflict
20 342 207 7.483 linearConflict
28 1400 865 15.108 linearConflict
20 312 188 9.038 linearConflict
16 149 85 6.682 linearConflict
24 607 380 9.053 linearConflict
22 384 229 9.058 linearConflict
22 319 194 9.225 linearConflict
18 234 140 7.474 linearConflict
24 364 221 16.397 linearConflict
18 82 46 6.882 linearConflict
28 1432 905 12.679 linearConflict
22 199 121 7.041 linearConflict
16 65 37 6.514 linearConflict
26 359 225 8.926 linearConflict
22 643 394 10.498 linearConflict
26 292 182 7.589 linearConflict
24 673 411 10.43 linearConflict
26 560 338 9.843 linearConflict
16 268 158 7.972 linearConflict
22 327 191 8.514 linearConflict
20 345 205 8.316 linearConflict
24 691 415 9.871 linearConflict
18 136 80 7.142 linearConflict
20 168 104 8.488 linearConflict
24 216 129 7.398 linearConflict
28 697 433 10.962 linearConflict
20 575 357 9.4 linearConflict
24 841 511 11.585 linearConflict
26 793 491 10.565 linearConflict
26 734 456 9.59 linearConflict
22 471 288 9.044 linearConflict
28 783 484 9.938 linearConflict
22 362 219 13.126 linearConflict
26 748 460 10.823 linearConflict
18 80 49 7.695 linearConflict
24 528 322 9.398 linearConflict
14 32 19 7.128 linearConflict
30 980 603 11.118 linearConflict
18 239 147 7.866 linearConflict
26 625 379 9.713 linearConflict
18 393 240 16.786 linearConflict
28 947 576 11.555 linearConflict
16 76 45 7.131 linearConflict
16 114 65 7.712 linearConflict
26 537 335 9.47 linearConflict
18 262 157 8.366 linearConflict
18 101 55 8.622 linearConflict
20 192 108 8.761 linearConflict
26 504 301 9.724 linearConflict
28 530 322 9.789 linearConflict
20 374 224 10.182 linearConflict
18 140 82 8.559 linearConflict
22 227 136 9.002 linearConflict
30 688 415 12.508 linearConflict
24 348 207 9.932 linearConflict
20 114 67 9.104 linearConflict
28 742 471 11.185 linearConflict
22 392 242 9.381 linearConflict
24 546 340 9.873 linearConflict
26 626 376 10.655 linearConflict
26 770 470 11.619 linearConflict
22 373 234 10.529 linearConflict
22 219 128 9.886 linearConflict
28 1578 990 14.545 linearConflict
18 74 43 8.076 linearConflict
28 1076 676 12.563 linearConflict
16 191 113 8.605 linearConflict
28 662 406 11.327 linearConflict
24 530 324 10.829 linearConflict
26 631 383 10.366 linearConflict
26 593 363 10.573 linearConflict
24 416 261 12.233 linearConflict
30 808 504 10.457 linearConflict
26 316 192 9.656 linearConflict
28 1110 690 12.551 linearConflict
20 73 42 8.653 linearConflict
28 1187 733 12.807 linearConflict
24 121 71 12.613 linearConflict
26 349 217 9.104 linearConflict
26 429 265 9.5 linearConflict
26 1148 712 13.703 linearConflict
28 938 592 12.348 linearConflict
24 410 249 10.258 linearConflict
20 234 145 9.035 linearConflict
22 479 289 9.784 linearConflict
20 268 163 8.977 linearConflict
18 52 32 8.836 linearConflict
26 551 345 10.043 linearConflict
8 14 9 8.672 linearConflict
26 1401 874 14.761 linearConflict
24 502 307 10.129 linearConflict
28 1111 692 13.163 linearConflict
30 839 520 11.339 linearConflict
26 880 545 11.157 linearConflict
18 122 75 8.047 linearConflict
22 324 193 9.433 linearConflict
26 828 517 11.259 linearConflict
16 228 132 8.93 linearConflict
22 179 114 8.746 linearConflict
20 528 319 10.227 linearConflict
26 574 357 11.283 linearConflict
16 90 50 8.289 linearConflict
18 424 258 10.048 linearConflict
12 27 15 8.286 linearConflict
24 356 221 9.572 linearConflict
24 229 136 10.978 linearConflict
28 617 384 10.476 linearConflict
22 267 159 8.869 linearConflict
28 691 418 11.335 linearConflict
24 199 118 8.761 linearConflict
26 561 350 10.15 linearConflict
22 239 143 9.432 linearConflict
16 141 85 8.363 linearConflict
20 190 114 8.78 linearConflict
28 1707 1064 15.867 linearConflict
22 374 229 9.741 linearConflict
28 1030 638 12.218 linearConflict
22 171 105 8.839 linearConflict
30 1634 1015 15.422 linearConflict
24 269 162 10.17 linearConflict
20 88 51 8.799 linearConflict
26 511 313 10.318 linearConflict
20 71 39 8.305 linearConflict
26 292 182 9.185 linearConflict
16 141 85 8.932 linearConflict
22 353 211 9.481 linearConflict
24 294 175 10.167 linearConflict
22 296 178 9.98 linearConflict
16 60 37 8.134 linearConflict
24 494 304 10.177 linearConflict
22 587 363 9.9 linearConflict
26 826 512 11.606 linearConflict
26 618 384 11.917 linearConflict
22 238 142 8.483 linearConflict
26 617 380 10.982 linearConflict
20 261 159 8.817 linearConflict
16 153 88 8.602 linearConflict
24 366 223 9.558 linearConflict
26 299 185 9.225 linearConflict
26 599 369 10.111 linearConflict
22 203 123 8.453 linearConflict
22 503 316 9.705 linearConflict
22 179 114 8.809 linearConflict
22 714 434 12.001 linearConflict
26 470 287 9.409 linearConflict
20 136 80 8.238 linearConflict
22 277 167 9.192 linearConflict
14 75 43 8.708 linearConflict
22 172 102 9.596 linearConflict
20 127 70 8.863 linearConflict
26 397 246 9.612 linearConflict
18 110 66 8.56 linearConflict
28 849 528 13.647 linearConflict
26 1092 667 12.334 linearConflict
14 142 82 8.931 linearConflict
26 1379 843 14.789 linearConflict
24 298 176 9.539 linearConflict
26 512 315 11.244 linearConflict
28 459 280 10.543 linearConflict
22 180 106 11.288 linearConflict
26 694 433 12.832 linearConflict
22 172 107 10.279 linearConflict
30 754 479 12.235 linearConflict
18 139 77 9.091 linearConflict
28 824 508 13.291 linearConflict
24 484 298 9.784 linearConflict
20 275 167 8.855 linearConflict
22 392 231 10.338 linearConflict
22 236 143 9.11 linearConflict
22 112 65 9.362 linearConflict
18 103 59 8.913 linearConflict
20 174 102 8.875 linearConflict
22 573 348 10.062 linearConflict
18 258 156 9.581 linearConflict
18 96 56 9.454 linearConflict
26 486 299 10.487 linearConflict
20 258 156 9.526 linearConflict
26 712 445 12.471 linearConflict
18 105 59 9.215 linearConflict
12 33 18 8.135 linearConflict
16 238 143 9.919 linearConflict
20 140 82 9.534 linearConflict
18 360 213 12.792 linearConflict
24 870 523 12.726 linearConflict
24 484 294 12.03 linearConflict
30 657 397 11.979 linearConflict
28 796 506 13.808 linearConflict
28 1240 779 14.904 linearConflict
18 366 219 10.632 linearConflict
20 135 83 9.053 linearConflict
22 202 122 9.269 linearConflict
24 816 508 11.627 linearConflict
18 191 113 9.367 linearConflict
24 452 275 10.458 linearConflict
24 249 143 10.2 linearConflict
20 272 162 10.221 linearConflict
22 686 412 12.203 linearConflict
28 702 428 10.949 linearConflict
20 83 50 7.872 linearConflict
30 721 447 11.375 linearConflict
20 133 82 8.694 linearConflict
28 834 508 12.59 linearConflict
20 151 91 9.441 linearConflict
20 192 118 11.565 linearConflict
20 243 145 10.384 linearConflict
24 294 180 9.646 linearConflict
18 165 99 9.78 linearConflict
24 493 304 10.526 linearConflict
12 84 46 9.099 linearConflict
20 372 224 10.024 linearConflict
22 375 229 9.583 linearConflict
24 570 346 10.715 linearConflict
24 373 216 10.522 linearConflict
28 601 367 10.167 linearConflict
24 876 523 13.249 linearConflict
22 398 247 11.411 linearConflict
22 114 69 9.577 linearConflict
22 240 145 12.953 linearConflict
28 1335 834 14.578 linearConflict
22 414 262 10.324 linearConflict
26 358 222 10.042 linearConflict
24 1220 751 14.804 linearConflict
22 494 303 10.622 linearConflict
18 67 39 8.791 linearConflict
26 313 187 10.574 linearConflict
22 225 133 8.074 linearConflict
24 782 486 13.225 linearConflict
22 1056 640 11.038 linearConflict
24 492 299 8.415 linearConflict
22 560 348 8.493 linearConflict
26 538 337 8.223 linearConflict
22 246 154 7.433 linearConflict
20 360 218 7.447 linearConflict
30 1587 964 13.976 linearConflict
24 988 612 10.665 linearConflict
18 84 49 6.952 linearConflict
26 505 311 8.233 linearConflict
20 261 158 7.667 linearConflict
22 316 191 7.877 linearConflict
20 270 160 7.529 linearConflict
24 337 207 7.902 linearConflict
24 773 481 9.647 linearConflict
20 82 49 7.192 linearConflict
22 750 467 9.528 linearConflict
26 346 215 7.476 linearConflict
26 618 367 10.118 linearConflict
26 573 356 8.951 linearConflict
18 98 54 6.381 linearConflict
20 148 89 6.64 linearConflict
28 480 295 8.422 linearConflict
24 206 124 7.148 linearConflict
22 317 191 7.948 linearConflict
18 220 132 7.111 linearConflict
24 235 140 7.05 linearConflict
22 418 250 7.786 linearConflict
26 516 320 8.159 linearConflict
26 823 520 9.934 linearConflict
28 963 603 10.174 linearConflict
24 424 258 7.665 linearConflict
24 486 295 12.748 linearConflict
20 297 182 12.018 linearConflict
26 368 225 8.347 linearConflict
24 382 228 8.053 linearConflict
16 142 81 8.222 linearConflict
16 228 136 7.426 linearConflict
24 553 340 9.114 linearConflict
22 395 233 8.61 linearConflict
20 286 168 7.546 linearConflict
22 349 213 10.32 linearConflict
24 1289 810 12.381 linearConflict
28 898 556 10.448 linearConflict
22 196 116 7.469 linearConflict
24 365 219 7.987 linearConflict
22 578 349 8.67 linearConflict
20 156 91 6.892 linearConflict
26 712 434 9.372 linearConflict
20 95 54 7.099 linearConflict
28 817 506 10.969 linearConflict
18 163 98 6.676 linearConflict
24 296 185 7.342 linearConflict
26 373 227 7.518 linearConflict
22 613 379 8.979 linearConflict
20 227 134 7.279 linearConflict
24 813 502 9.823 linearConflict
14 62 35 6.757 linearConflict
20 262 157 7.59 linearConflict
24 297 185 7.662 linearConflict
22 161 95 6.628 linearConflict
26 725 455 10.174 linearConflict
20 450 266 8.003 linearConflict
18 220 131 6.814 linearConflict
24 693 423 9.486 linearConflict
16 65 36 6.499 linearConflict
12 46 25 6.04 linearConflict
24 315 199 7.497 linearConflict
22 334 205 7.377 linearConflict
22 349 213 7.916 linearConflict
18 280 168 7.435 linearConflict
22 875 543 10.17 linearConflict
22 149 89 6.388 linearConflict
20 331 200 7.455 linearConflict
24 398 237 7.751 linearConflict
26 164 99 6.697 linearConflict
24 288 177 8.904 linearConflict
28 949 603 10.407 linearConflict
26 666 412 9.052 linearConflict
24 567 343 8.54 linearConflict
24 1079 678 10.755 linearConflict
22 191 114 6.867 linearConflict
20 341 205 8.256 linearConflict
26 925 588 10.578 linearConflict
24 473 285 8.256 linearConflict
20 640 388 8.729 linearConflict
26 1488 930 12.929 linearConflict
18 130 78 7.256 linearConflict
18 247 145 6.921 linearConflict
20 160 99 6.644 linearConflict
14 108 61 6.457 linearConflict
22 386 235 8.821 linearConflict
20 250 148 7.004 linearConflict
22 272 159 7.417 linearConflict
22 219 136 7.261 linearConflict
26 503 297 8.54 linearConflict
22 260 155 7.037 linearConflict
18 88 51 6.501 linearConflict
18 155 91 6.592 linearConflict
24 578 361 8.328 linearConflict
26 573 352 10.375 linearConflict
20 306 185 8.435 linearConflict
20 72 43 6.389 linearConflict
22 365 218 8.445 linearConflict
24 661 400 10.012 linearConflict
24 626 390 9.144 linearConflict
28 640 399 9.48 linearConflict
24 824 504 11.22 linearConflict
24 363 214 8.439 linearConflict
22 192 115 7.752 linearConflict
