Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
dual_pivot_quick_sort,15,18000,1,285740.00,124629.00
hybrid_sort,15,18000,1,319628.00,181293.00
quick_sort,15,19000,1,310410.00,161992.00
dual_pivot_quick_sort,15,19000,1,295988.00,120875.00
hybrid_sort,15,19000,1,313250.00,168674.00
quick_sort,15,20000,1,342180.00,181478.00
dual_pivot_quick_sort,15,20000,1,318822.00,121300.00
hybrid_sort,15,20000,1,362489.00,172755.00
quick_sort,15,21000,1,356673.00,214565.00
dual_pivot_quick_sort,15,21000,1,338662.00,147135.00
hybrid_sort,15,21000,1,356304.00,185991.00
quick_sort,15,22000,1,410705.00,222351.00
dual_pivot_quick_sort,15,22000,1,341507.00,137675.00
hybrid_sort,15,22000,1,374658.00,187713.00
quick_sort,15,23000,1,382478.00,183216.00
dual_pivot_quick_sort,15,23000,1,373136.00,155962.00
hybrid_sort,15,23000,1,400259.00,209464.00
quick_sort,15,24000,1,415238.00,212952.00
dual_pivot_quick_sort,15,24000,1,363306.00,152750.00
hybrid_sort,15,24000,1,413940.00,229791.00
quick_sort,15,25000,1,444929.00,223665.00
dual_pivot_quick_sort,15,25000,1,395021.00,180633.00
hybrid_sort,15,25000,1,421877.00,214464.00
quick_sort,15,26000,1,435424.00,225260.00
dual_pivot_quick_sort,15,26000,1,432340.00,171343.00
hybrid_sort,15,26000,1,442035.00,222072.00
quick_sort,15,27000,1,476581.00,261460.00
dual_pivot_quick_sort,15,27000,1,430947.00,169816.00
hybrid_sort,15,27000,1,485273.00,238973.00
quick_sort,15,28000,1,482508.00,262375.00
dual_pivot_quick_sort,15,28000,1,447597.00,194515.00
hybrid_sort,15,28000,1,482711.00,252951.00
quick_sort,15,29000,1,507376.00,283693.00
dual_pivot_quick_sort,15,29000,1,466089.00,199564.00
hybrid_sort,15,29000,1,523153.00,287517.00
quick_sort,15,30000,1,514936.00,289243.00
dual_pivot_quick_sort,15,30000,1,483731.00,197332.00
hybrid_sort,15,30000,1,509738.00,264554.00
quick_sort,15,31000,1,580132.00,298974.00
dual_pivot_quick_sort,15,31000,1,505420.00,216637.00
hybrid_sort,15,31000,1,584367.00,288514.00
quick_sort,15,32000,1,570699.00,297974.00
dual_pivot_quick_sort,15,32000,1,522233.00,230015.00
hybrid_sort,15,32000,1,572802.00,308782.00
quick_sort,15,33000,1,587122.00,300929.00
dual_pivot_quick_sort,15,33000,1,566083.00,221574.00
hybrid_sort,15,33000,1,587990.00,306727.00
quick_sort,15,34000,1,642774.00,344921.00
dual_pivot_quick_sort,15,34000,1,560180.00,245996.00
hybrid_sort,15,34000,1,594667.00,310744.00
quick_sort,15,35000,1,639152.00,325692.00
dual_pivot_quick_sort,15,35000,1,563594.00,247823.00
hybrid_sort,15,35000,1,673550.00,328935.00
quick_sort,15,36000,1,664715.00,368440.00
dual_pivot_quick_sort,15,36000,1,588010.00,259189.00
hybrid_sort,15,36000,1,659745.00,328157.00
quick_sort,15,37000,1,660730.00,341485.00
dual_pivot_quick_sort,15,37000,1,598697.00,286024.00
hybrid_sort,15,37000,1,677848.00,353851.00
quick_sort,15,38000,1,698901.00,377923.00
dual_pivot_quick_sort,15,38000,1,669928.00,292614.00
hybrid_sort,15,38000,1,721667.00,410010.00
quick_sort,15,39000,1,685786.00,353413.00
dual_pivot_quick_sort,15,39000,1,647443.00,283575.00
hybrid_sort,15,39000,1,760242.00,405937.00
quick_sort,15,40000,1,722462.00,372882.00
dual_pivot_quick_sort,15,40000,1,657399.00,285485.00
hybrid_sort,15,40000,1,741981.00,419448.00
quick_sort,15,41000,1,726129.00,397195.00
dual_pivot_quick_sort,15,41000,1,683726.00,277437.00
hybrid_sort,15,41000,1,813367.00,371360.00
quick_sort,15,42000,1,819925.00,432291.00
dual_pivot_quick_sort,15,42000,1,712562.00,320725.00
hybrid_sort,15,42000,1,737005.00,369276.00
quick_sort,15,43000,1,802868.00,401627.00
dual_pivot_quick_sort,15,43000,1,730479.00,305251.00
hybrid_sort,15,43000,1,789863.00,406540.00
quick_sort,15,44000,1,782828.00,396106.00
dual_pivot_quick_sort,15,44000,1,736558.00,342259.00
hybrid_sort,15,44000,1,864783.00,488082.00
quick_sort,15,45000,1,852451.00,484484.00
dual_pivot_quick_sort,15,45000,1,768916.00,301881.00
hybrid_sort,15,45000,1,813994.00,421062.00
quick_sort,15,46000,1,872879.00,459175.00
dual_pivot_quick_sort,15,46000,1,767393.00,366148.00
hybrid_sort,15,46000,1,843807.00,435862.00
quick_sort,15,47000,1,884054.00,470866.00
dual_pivot_quick_sort,15,47000,1,814871.00,340749.00
hybrid_sort,15,47000,1,901130.00,500938.00
