Algorithm,n,k,AvgComparisons
adaptive_merge_sort,12000,10,154923.10
merge_sort,13000,10,161432.80
adaptive_merge_sort,13000,10,170476.80
merge_sort,14000,10,175399.20
adaptive_merge_sort,14000,10,183449.90
merge_sort,15000,10,189310.10
adaptive_merge_sort,15000,10,197756.30
merge_sort,16000,10,203299.90
adaptive_merge_sort,16000,10,211628.40
merge_sort,17000,10,217523.50
adaptive_merge_sort,17000,10,239337.40
merge_sort,18000,10,231937.50
adaptive_merge_sort,18000,10,251228.20
merge_sort,19000,10,246398.60
adaptive_merge_sort,19000,10,264499.90
merge_sort,20000,10,260929.20
adaptive_merge_sort,20000,10,277222.90
merge_sort,21000,10,275439.50
adaptive_merge_sort,21000,10,293061.00
merge_sort,22000,10,290048.80
adaptive_merge_sort,22000,10,305774.40
merge_sort,23000,10,304706.40
adaptive_merge_sort,23000,10,320015.60
merge_sort,24000,10,319305.90
adaptive_merge_sort,24000,10,333742.10
merge_sort,25000,10,334082.90
adaptive_merge_sort,25000,10,354391.50
merge_sort,26000,10,348953.70
adaptive_merge_sort,26000,10,366936.00
merge_sort,27000,10,363817.70
adaptive_merge_sort,27000,10,381278.30
merge_sort,28000,10,378738.60
adaptive_merge_sort,28000,10,394862.80
merge_sort,29000,10,393656.10
adaptive_merge_sort,29000,10,411895.90
merge_sort,30000,10,408604.10
adaptive_merge_sort,30000,10,425447.10
merge_sort,31000,10,423615.90
adaptive_merge_sort,31000,10,440667.40
merge_sort,32000,10,438586.20
adaptive_merge_sort,32000,10,455264.00
merge_sort,33000,10,453710.00
adaptive_merge_sort,33000,10,501264.90
merge_sort,34000,10,469077.80
adaptive_merge_sort,34000,10,512712.90
merge_sort,35000,10,484385.80
adaptive_merge_sort,35000,10,526060.00
merge_sort,36000,10,499892.80
adaptive_merge_sort,36000,10,538714.60
merge_sort,37000,10,515340.40
adaptive_merge_sort,37000,10,554208.80
merge_sort,38000,10,530847.70
adaptive_merge_sort,38000,10,567142.50
merge_sort,39000,10,546353.30
adaptive_merge_sort,39000,10,581027.90
merge_sort,40000,10,561788.70
adaptive_merge_sort,40000,10,594546.30
merge_sort,41000,10,577395.60
adaptive_merge_sort,41000,10,612889.30
merge_sort,42000,10,592913.80
adaptive_merge_sort,42000,10,628106.00
merge_sort,43000,10,608499.40
adaptive_merge_sort,43000,10,642120.90
merge_sort,44000,10,624151.00
adaptive_merge_sort,44000,10,655595.70
merge_sort,45000,10,639741.10
adaptive_merge_sort,45000,10,670404.90
merge_sort,46000,10,655397.20
adaptive_merge_sort,46000,10,686169.40
merge_sort,47000,10,671050.10
adaptive_merge_sort,47000,10,700742.30
merge_sort,48000,10,686683.40
adaptive_merge_sort,48000,10,715539.20
merge_sort,49000,10,702303.00
adaptive_merge_sort,49000,10,731985.20
merge_sort,50000,10,718128.40
adaptive_merge_sort,50000,10,758539.00
merge_sort,1000,100,8705.20
adaptive_merge_sort,1000,100,9327.41
merge_sort,2000,100,19415.42
adaptive_merge_sort,2000,100,20495.67
merge_sort,3000,100,30920.96
adaptive_merge_sort,3000,100,32715.56
merge_sort,4000,100,42827.14
adaptive_merge_sort,4000,100,44921.93
merge_sort,5000,100,55225.91
adaptive_merge_sort,5000,100,59303.34
merge_sort,6000,100,67834.77
adaptive_merge_sort,6000,100,71441.47
merge_sort,7000,100,80680.93
adaptive_merge_sort,7000,100,84712.01
merge_sort,8000,100,93641.17
adaptive_merge_sort,8000,100,97808.47
merge_sort,9000,100,106983.18
adaptive_merge_sort,9000,100,116589.93
merge_sort,10000,100,120451.87
adaptive_merge_sort,10000,100,128636.47
merge_sort,11000,100,134024.80
adaptive_merge_sort,11000,100,141870.44
merge_sort,12000,100,147668.27
adaptive_merge_sort,12000,100,154870.43
merge_sort,13000,100,161489.84
adaptive_merge_sort,13000,100,170474.45
merge_sort,14000,100,175363.78
adaptive_merge_sort,14000,100,183426.67
merge_sort,15000,100,189294.11
adaptive_merge_sort,15000,100,197708.77
merge_sort,16000,100,203284.95
adaptive_merge_sort,16000,100,211623.33
merge_sort,17000,100,217526.05
adaptive_merge_sort,17000,100,239338.44
merge_sort,18000,100,231960.19
adaptive_merge_sort,18000,100,251232.99
merge_sort,19000,100,246416.30
adaptive_merge_sort,19000,100,264533.42
merge_sort,20000,100,260903.49
adaptive_merge_sort,20000,100,277268.44
merge_sort,21000,100,275453.15
adaptive_merge_sort,21000,100,293075.32
merge_sort,22000,100,290050.33
adaptive_merge_sort,22000,100,305760.32
merge_sort,23000,100,304683.96
adaptive_merge_sort,23000,100,320065.82
merge_sort,24000,100,319347.43
adaptive_merge_sort,24000,100,333751.41
merge_sort,25000,100,334095.16
adaptive_merge_sort,25000,100,354315.90
merge_sort,26000,100,348954.28
adaptive_merge_sort,26000,100,366981.33
merge_sort,27000,100,363803.93
adaptive_merge_sort,27000,100,381256.86
merge_sort,28000,100,378711.08
adaptive_merge_sort,28000,100,394862.66
merge_sort,29000,100,393624.19
adaptive_merge_sort,29000,100,411866.56
merge_sort,30000,100,408583.34
adaptive_merge_sort,30000,100,425445.98
merge_sort,31000,100,423583.03
adaptive_merge_sort,31000,100,440723.43
merge_sort,32000,100,438560.27
adaptive_merge_sort,32000,100,455285.72
merge_sort,33000,100,453651.79
adaptive_merge_sort,33000,100,501179.11
merge_sort,34000,100,469070.50
adaptive_merge_sort,34000,100,512788.19
merge_sort,35000,100,484480.34
adaptive_merge_sort,35000,100,526046.18
merge_sort,36000,100,499924.83
adaptive_merge_sort,36000,100,538493.02
merge_sort,37000,100,515349.69
adaptive_merge_sort,37000,100,554334.88
merge_sort,38000,100,530821.60
adaptive_merge_sort,38000,100,567101.86
merge_sort,39000,100,546319.21
adaptive_merge_sort,39000,100,581062.61
merge_sort,40000,100,561791.22
adaptive_merge_sort,40000,100,594586.02
merge_sort,41000,100,577308.05
adaptive_merge_sort,41000,100,612786.40
merge_sort,42000,100,592900.53
adaptive_merge_sort,42000,100,628134.38
merge_sort,43000,100,608506.13
adaptive_merge_sort,43000,100,641833.55
merge_sort,44000,100,624120.46
adaptive_merge_sort,44000,100,655565.37
merge_sort,45000,100,639764.12
adaptive_merge_sort,45000,100,670411.72
merge_sort,46000,100,655416.97
adaptive_merge_sort,46000,100,686085.46
merge_sort,47000,100,671032.84
adaptive_merge_sort,47000,100,700468.81
merge_sort,48000,100,686695.40
adaptive_merge_sort,48000,100,715445.33
merge_sort,49000,100,702370.31
adaptive_merge_sort,49000,100,731936.57
merge_sort,50000,100,718194.29
adaptive_merge_sort,50000,100,758537.44
