n,comparisons,swaps
100,693,160
200,1460,311
300,2292,486
400,3125,645
500,3972,808
600,4794,971
700,5620,1125
800,6493,1300
900,7320,1447
1000,8152,1602
1100,9073,1785
1200,9940,1946
1300,10738,2109
1400,11623,2273
1500,12627,2469
1600,13454,2621
1700,14076,2722
1800,15006,2893
1900,15991,3084
2000,16892,3242
2100,17697,3401
2200,18558,3566
2300,19427,3725
2400,20198,3865
2500,21360,4099
2600,22054,4219
2700,23037,4406
2800,23954,4575
2900,24649,4710
3000,25535,4870
3100,26514,5065
3200,27282,5199
3300,28241,5386
3400,29007,5513
3500,30039,5690
3600,31023,5888
3700,31674,5994
3800,32608,6177
3900,33423,6319
4000,34566,6546
4100,35244,6671
4200,36139,6826
4300,36832,6947
4400,37888,7142
4500,38956,7363
4600,39566,7452
4700,40418,7612
4800,41647,7856
4900,42366,7985
5000,43589,8219
5100,44139,8323
5200,45178,8502
5300,45975,8664
5400,46969,8839
5500,47718,8972
5600,48376,9095
5700,49542,9311
5800,50518,9499
5900,51173,9611
6000,52262,9833
6100,52808,9904
6200,53915,10121
6300,54839,10301
6400,55784,10478
6500,56530,10621
6600,57315,10762
6700,58785,11031
6800,59477,11150
6900,60216,11269
7000,61223,11465
7100,62383,11680
7200,62750,11724
7300,63715,11918
7400,64920,12130
7500,65715,12296
7600,67000,12547
7700,67496,12621
7800,68390,12806
7900,69391,12971
8000,70298,13135
8100,70292,13126
8200,71883,13420
8300,73070,13647
8400,73739,13757
8500,74907,13982
8600,75390,14061
8700,76378,14241
8800,77345,14429
8900,78412,14606
9000,79468,14815
9100,79834,14868
9200,80623,15007
9300,81593,15182
9400,82388,15329
9500,83543,15551
9600,84358,15696
9700,86033,16010
9800,85828,15941
9900,86794,16120
10000,88193,16431
10100,89302,16647
10200,89885,16720
10300,90552,16863
10400,91634,17040
10500,92406,17187
10600,93619,17426
10700,94685,17636
10800,95002,17658
10900,96107,17864
11000,97435,18123
11100,97750,18156
11200,99014,18404
11300,99025,18368
11400,100852,18744
11500,101436,18836
11600,102635,19080
11700,103146,19162
11800,104200,19348
11900,105324,19556
12000,106307,19735
12100,106455,19789
12200,107766,20002
12300,108556,20149
12400,110050,20442
12500,110272,20462
12600,111579,20744
12700,112765,20936
12800,112800,20921
12900,114222,21198
13000,115108,21353
13100,116027,21530
13200,116601,21633
13300,118088,21902
13400,118447,21975
13500,118943,22064
13600,120544,22346
13700,121508,22517
13800,122737,22735
13900,123037,22791
14000,124671,23114
14100,125186,23175
14200,126290,23384
14300,126661,23468
14400,127402,23571
14500,128323,23762
14600,129063,23863
14700,130917,24219
14800,131366,24320
14900,132667,24565
15000,132776,24578
15100,133570,24719
15200,135149,25004
15300,135928,25158
15400,136356,25242
15500,137607,25451
15600,138491,25631
15700,139343,25797
15800,140927,26070
15900,141667,26213
16000,141891,26240
16100,142005,26246
16200,143899,26614
16300,144593,26759
16400,144580,26723
16500,146708,27155
16600,148158,27418
16700,148740,27506
16800,149557,27663
16900,149770,27637
17000,150669,27809
17100,151939,28055
17200,153311,28309
17300,154771,28578
17400,154627,28535
17500,155755,28704
17600,157285,29035
17700,156934,28953
17800,158722,29276
17900,159486,29433
18000,159986,29496
18100,161606,29850
18200,161958,29891
18300,163343,30154
18400,163829,30197
18500,164528,30332
18600,165849,30572
18700,166558,30734
18800,167924,30949
18900,168048,30975
19000,169020,31160
19100,170149,31363
19200,170308,31377
19300,172395,31782
19400,172608,31841
19500,173925,32056
19600,175394,32363
19700,175744,32379
19800,177024,32649
19900,178156,32871
20000,178876,32954
20100,179431,33098
20200,180762,33310
20300,180997,33383
20400,182032,33534
20500,181622,33479
20600,183299,33804
20700,185517,34223
20800,185862,34254
20900,186576,34398
21000,186165,34277
21100,188477,34719
21200,189274,34903
21300,190552,35115
21400,190076,35000
21500,191964,35359
21600,193424,35630
21700,193407,35627
21800,194548,35822
21900,195699,36015
22000,196863,36240
22100,197302,36336
22200,198112,36451
22300,199895,36805
22400,200128,36828
22500,200818,36949
22600,202675,37335
22700,203024,37366
22800,203668,37481
22900,204924,37734
23000,205410,37809
23100,206196,37944
23200,206687,38019
23300,208577,38382
23400,208328,38331
23500,210404,38736
23600,210416,38713
23700,211077,38835
23800,211545,38894
23900,213361,39281
24000,215034,39568
24100,215563,39656
24200,215445,39614
24300,217245,39954
24400,217681,40045
24500,219372,40345
24600,220543,40570
24700,221291,40723
24800,221259,40694
24900,222147,40876
25000,223490,41117
25100,224522,41315
25200,225506,41486
25300,226459,41674
25400,227046,41782
25500,227934,41921
25600,230169,42332
25700,230376,42389
25800,231295,42563
25900,232150,42720
26000,233644,43015
26100,234435,43166
26200,233826,43011
26300,234712,43161
26400,236865,43590
26500,237339,43639
26600,238207,43812
26700,238876,43936
26800,240776,44290
26900,240566,44237
27000,241961,44493
27100,241177,44300
27200,244040,44871
27300,244844,45022
27400,245962,45200
27500,246246,45258
27600,247382,45483
27700,248639,45692
27800,249179,45779
27900,249504,45832
28000,250622,46026
28100,251566,46222
28200,252869,46473
28300,254457,46750
28400,254253,46697
28500,255966,46996
28600,256029,47024
28700,257538,47289
28800,259404,47674
28900,258793,47488
29000,260250,47747
29100,259377,47648
29200,261813,48092
29300,263684,48449
29400,264036,48497
29500,264673,48598
29600,265468,48761
29700,266277,48871
29800,267395,49084
29900,268374,49292
30000,270067,49631
30100,269691,49513
30200,271645,49863
30300,272222,49985
30400,272154,49998
30500,274253,50358
30600,274798,50444
30700,275427,50531
30800,277327,50948
30900,278071,51067
31000,278125,51041
31100,279468,51294
31200,280359,51457
31300,280541,51492
31400,281604,51698
31500,281833,51714
31600,284278,52197
31700,285593,52434
31800,286591,52627
31900,286561,52590
32000,287365,52722
32100,287642,52801
32200,289452,53120
32300,289060,53021
32400,290482,53304
32500,292786,53742
32600,293481,53884
32700,293590,53878
32800,293939,53920
32900,296084,54332
33000,297315,54575
33100,297856,54680
33200,299084,54890
33300,298793,54765
33400,299819,54999
33500,301410,55286
33600,302418,55492
33700,303220,55615
33800,303086,55561
33900,305514,56028
34000,306074,56109
34100,306495,56221
34200,306607,56170
34300,309262,56712
34400,308558,56531
34500,310216,56847
34600,310846,56968
