n,comparisons,swaps
35700,71927,36260
35800,70369,34601
35900,74169,38303
36000,73133,37166
36100,70696,34628
36200,71027,34858
36300,78346,42081
36400,74442,38076
36500,72765,36297
36600,76923,40355
36700,75517,38851
36800,72776,36008
36900,74132,37266
37000,71026,34059
37100,70614,33548
37200,77990,40825
37300,80460,43194
37400,67755,30386
37500,76332,38865
37600,74393,36827
37700,81601,43936
37800,81417,43649
37900,65486,27619
38000,80097,42130
38100,77833,39767
38200,76175,38008
38300,77372,39105
38400,79829,41464
38500,74696,36228
38600,79279,40712
38700,69883,31214
38800,76685,37918
38900,73042,34175
39000,69616,30648
39100,84417,45353
39200,79092,39925
39300,84428,45161
39400,80608,41241
39500,80739,41272
39600,80740,41175
39700,79983,40318
39800,81082,41315
39900,84808,44945
40000,80232,40266
40100,81413,41346
40200,82008,41840
40300,82864,42599
40400,80938,40570
40500,77207,36740
40600,82311,41747
40700,80339,39673
40800,87739,46973
40900,80427,39560
41000,84516,43549
41100,78884,37817
41200,83740,42574
41300,82552,41287
41400,84325,42960
41500,82348,40881
41600,81765,40197
41700,86046,44379
41800,87332,45564
41900,87039,45173
42000,83882,41916
42100,86677,44610
42200,82389,40222
42300,81626,39357
42400,81288,38920
42500,85942,43475
42600,88992,46426
42700,82531,39863
42800,83000,40234
42900,83193,40326
43000,78257,35290
43100,89771,46703
43200,80222,37054
43300,85970,42704
43400,86640,43274
43500,90749,47284
43600,91465,47898
43700,88292,44627
43800,85127,41359
43900,89897,46029
44000,97910,53945
44100,92692,48626
44200,83388,39220
44300,85460,41193
44400,88508,44143
44500,91127,46661
44600,96567,52000
44700,88061,43392
44800,92916,48150
44900,90719,45855
45000,78106,33139
45100,94226,49159
45200,87648,42483
45300,99604,54342
45400,86034,40666
45500,86189,40723
45600,87012,41444
45700,94814,49147
45800,94944,49177
45900,93429,47563
46000,93931,47964
46100,93322,47257
46200,96848,50684
46300,87469,41198
46400,89945,43579
46500,89685,43218
46600,94367,47803
46700,88439,41771
46800,87752,40983
46900,88052,41184
47000,88373,41405
47100,84617,37549
47200,94072,46903
47300,101180,53914
47400,98313,50946
47500,97335,49868
47600,97275,49710
47700,100204,52539
47800,88435,40668
47900,87743,39876
48000,98683,50718
48100,91697,43630
48200,90401,42233
48300,96427,48159
48400,92338,43973
48500,101713,53247
48600,94639,46073
48700,89843,41176
48800,97443,48677
48900,104302,55436
49000,90269,41301
49100,98041,48975
49200,95783,46617
49300,108676,59412
49400,95583,46216
49500,98753,49288
49600,104012,54445
49700,100695,51030
49800,94378,44612
49900,99099,49233
50000,93353,43385
